Klassen in Wien nach Schultypen seit 2013/14;;;;;;;;
Schultyp;Schuljahr;;;;;;;
;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21
Ausgewählte Schultypen insgesamt (1);10372;10501;10614;10828;11020;11132;11247;11516
Allgemein bildende Pflichtschulen insgesamt;4812;4887;4989;5147;5273;5360;5455;5606
Volksschulen;3005;3044;3116;3205;3290;3333;3395;3507
Hauptschulen;704;445;162;16;4;–;–;–
Mittelschulen;607;887;1207;1407;1433;1454;1491;1539
Sonderschulen;382;394;385;401;432;458;451;445
Polytechnische Schulen;114;117;119;118;114;115;118;115
Allgemein bildende höhere Schulen insgesamt;2497;2505;2519;2550;2579;2589;2615;2648
Unterstufe;1367;1367;1387;1393;1413;1439;1451;1474
Oberstufe (2);1130;1138;1132;1157;1166;1150;1164;1174
Sonstige allgemein bildende (Statut-)Schulen (3);312;322;334;333;341;339;327;327
Berufsschulen insgesamt;1205;1237;1194;1199;1228;1238;1236;1291
Gewerbliche und kaufmännische Berufsschulen;1205;1237;1194;1199;1228;1238;1236;1291
Berufsbildende mittlere Schulen insgesamt;309;313;313;325;335;331;335;343
Technisch-gewerbliche mittlere Schulen;132;135;132;134;138;139;147;154
Kaufmännische mittlere Schulen;116;116;117;119;125;122;120;122
Wirtschaftsberufliche mittlere Schulen;52;53;54;56;55;53;48;48
Sozialberufliche mittlere Schulen;9;9;10;11;12;12;12;11
Mittlere Schulen für pädagogische Assistenzberufe;–;–;–;5;5;5;8;8
Sonstige berufsbildende (Statut-)Schulen;97;78;82;93;86;90;90;86
Berufsbildende höhere Schulen insgesamt;1028;1042;1059;1181;1178;1185;1189;1215
Technisch gewerbliche höhere Schulen;571;579;594;599;601;598;603;615
Kaufmännische höhere Schulen;318;325;328;318;311;318;318;330
Wirtschaftsberufliche höhere Schulen;129;128;127;126;127;129;129;129
Sozialberufliche höhere Schulen;–;–;–;–;–;–;–;1
Land- und forstwirtschaftliche höhere Schulen;10;10;10;10;10;10;10;10
Bildungsanstalten für Elementarpädagogik (4);–;–;–;106;107;107;106;106
Bildungsanstalten für Sozialpädagogik (4);–;–;–;22;22;23;23;24
Lehrerbildende höhere Schulen (4);112;117;124;–;–;–;–;–
Quelle: Statistik Austria – Schulstatistik,;;;;;;;;
"(1) Ohne Bundessportakademien und Schulen im Gesundheitswesen, 
(2) Inklusive Oberstufenrealgymnasien, Aufbaugymnasien und Aufbaurealgymnasien und allgemein bildende höhere Schulen für Berufstätige,
(3) Inklusive Schulen mit ausländischem Lehrplan,
(4) Die bislang in der Kategorie ""Lehrerbildende höhere Schulen"" erfassten Bildungsanstalten für Elementar- bzw, Sozialpädagogik werden ab 2016/17 bei den Berufsbildenden höheren Schulen ausgewiesen,";;;;;;;;
;;;;;;;;
