Schülerinnen und Schüler in Wien nach Schultypen und Geschlecht 2020/21;;;;;
Schultyp;Insgesamt;Schülerinnen und Schüler;;;
;;Geschlecht;;;
;;Schüler;Schülerinnen;Schüler;Schülerinnen
;;absolut;;%;
Schultypen insgesamt;246759;126682;120077;51,338350374251796;48,6616496257482
Allgemein bildende Pflichtschulen insgesamt;114310;61045;53265;53,403026856792934;46,59697314320707
Volksschulen;74607;38924;35683;52,17204819923064;47,82795180076936
Mittelschulen;33614;18295;15319;54,42672695900518;45,57327304099482
Sonderschulen (1);3546;2312;1234;65,20022560631698;34,79977439368302
Polytechnische Schulen;2543;1514;1029;59,535981124655926;40,46401887534408
Allgemein bildende höhere Schulen;64362;30049;34313;46,687486405021595;53,312513594978405
Unterstufe;36981;18025;18956;48,74124550444823;51,25875449555177
Oberstufe (2);27381;12024;15357;43,91366275884738;56,08633724115263
Sonst, allgemein bild, (Statut-)Schulen (3);5082;2596;2486;51,082251082251084;48,917748917748916
Berufsschulen insgesamt;20522;12727;7795;62,01637267322872;37,98362732677127
Gewerbliche und kaufmännische Berufsschulen;20522;12727;7795;62,01637267322872;37,98362732677127
Berufsbildende mittlere Schulen;8212;4599;3613;56,003409644422796;43,996590355577204
Technisch-gewerbliche mittlere Schulen;3608;2812;796;77,93791574279379;22,06208425720621
Kaufmännische mittlere Schulen;3025;1349;1676;44,59504132231405;55,404958677685954
Wirtschaftsberufl, mittlere Schulen;1078;370;708;34,32282003710575;65,67717996289424
Sozialberufliche mittlere Schulen;315;43;272;13,65079365079365;86,34920634920636
Mittl, Schulen für päd, Assistenzberufe;186;25;161;13,440860215053762;86,55913978494624
Sonstige berufsbild, (Statut-)Schulen;1853;678;1175;36,58931462493254;63,41068537506745
Berufsbildende höhere Schulen;29339;14049;15290;47,88506765738437;52,114932342615624
Technisch-gewerbliche höhere Schulen;14816;9852;4964;66,49568034557235;33,50431965442765
Kaufmännische höhere Schulen;8267;2971;5296;35,938067013426874;64,06193298657313
Wirtschaftsberufliche höhere Schulen;2832;760;2072;26,836158192090398;73,1638418079096
Sozialberufliche höhere Schulen;16;2;14;12,5;87,5
Land- und forstwirtschaftliche höhere Schulen;181;88;93;48,61878453038674;51,38121546961326
Bildungsanst, für Elementarpädagogik;2726;253;2473;9,280997798972853;90,71900220102714
Bildungsanstalten für Sozialpädagogik;501;123;378;24,550898203592812;75,44910179640718
Bundessportakademien;386;265;121;68,65284974093264;31,34715025906736
Schulen im Gesundheitswesen;2693;674;2019;25,02784998143335;74,97215001856665
Quelle: Statistik Austria – Schulstatistik,;;;;;
"(1) Inkl, Schülerinnen und Schüler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden,
(2) Inkl, Oberstufenrealgymnasien, Aufbau- und Aufbaurealgymnasien und AHS für Berufstätige,
(3) Inkl, Schulen mit ausländischem Lehrplan,";;;;;
;;;;;
