Ordentliche Studierende an Universitäten und Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht im Wintersemester 2016/17;;;;;;;
Universität;Insgesamt;Ordentliche Studierende an Universitäten;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;Männer;Frauen;;Männer;Frauen
Universitäten insgesamt;177175;127245;58844;68401;49930;21962;27968
Wissenschaftliche Universitäten;160606;116119;55152;60967;44487;19933;24554
Universität Wien;89030;64270;24065;40205;24760;9229;15531
Medizinische Universität;7150;4993;2470;2523;2157;1027;1130
Technische Universität;27789;19495;14721;4774;8294;5274;3020
Universität für Bodenkultur;12074;9529;4913;4616;2545;1223;1322
Veterinärmedizinische Universität;2320;1483;296;1187;837;206;631
Wirtschaftsuniversität;22243;16349;8687;7662;5894;2974;2920
Universitäten der Künste;5423;3033;1265;1768;2390;956;1434
Akademie der bildenden Künste;1441;764;261;503;677;238;439
Universität für angewandte Kunst;1551;946;370;576;605;228;377
Universität für Musik und darstellende Kunst;2431;1323;634;689;1108;490;618
Pädagogische Hochschulen;5557;5084;1370;3714;473;113;360
Private Universitäten;5589;3009;1057;1952;2580;960;1620
Quelle: Statistik Austria – Hochschulstatistik,;;;;;;;
