Studierende an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht im Wintersemester 2021/22;;;;;;;
Hochschule;Insgesamt;Studierende an Hochschulen;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
Hochschulen insgesamt;193924,075;134995,256;61257,492;73737,764;58928,819;25678,103;33250,716
Öffentliche Universitäten;159245;109733;50582;59151;49512;21678;27834
Universität Wien;86518;60063;22324;37739;26455;9965;16490
Technische Universität Wien;25369;17181;12678;4503;8188;4971;3217
Universität für Bodenkultur Wien;10161;7736;3731;4005;2425;1096;1329
Veterinärmedizinische Universität Wien;2474;1581;313;1268;893;194;699
Wirtschaftsuniversität Wien;21107;14735;7889;6846;6372;3285;3087
Medizinische Universität Wien;7445;5219;2347;2872;2226;1027;1199
Akademie der bildenden Künste Wien;1524;772;256;516;752;257;495
Universität für angewandte Kunst Wien;1813;994;381;613;819;279;540
Universität für Musik und darstellende Kunst Wien;2834;1452;663;789;1382;604;778
Privatuniversitäten;8096;3978;1289;2689;4118;1465;2653
Webster Vienna Private University;459;60;29;31;399;174;225
Sigmund Freud Privatuniversität (1);5687;3379;1005;2374;2308;681;1627
MODUL University Vienna Privatuniversität (1);895;175;74;101;720;314;406
"JML Jam Music Lab Private University for
Jazz and Popular Music Vienna";128;56;34;22;72;26;46
Musik und Kunst Privatuniversität der Stadt Wien;927;308;147;161;619;270;349
Pädagogische Hochschulen;6751,075000000001;6195,256;1569,492;4625,764;555,819;116,103;439,716
Pädagogische Hochschule Wien;3563,973;3231,701;904,504;2327,197;332,27200000000005;74,023;258,249
Private Pädagogische Hochschule der Erzdiözese Wien;2490,102;2319,555;404,988;1914,567;170,54700000000003;32,08;138,467
Hochschule für Agrar- und Umweltpädagogik Wien;697;644;260;384;53;10;43
Fachhochschulen;19832;15089;7817;7272;4743;2419;2324
FHWien der WKW;3576;2924;1333;1591;652;243;409
Fachhochschule Technikum Wien;4897;3522;2880;642;1375;957;418
Fachhochschule des bfi Wien;3553;2199;1087;1112;1354;641;713
Bundesministerium für Landesverteidigung und Sport;18;18;18;0;0;0;0
Fachhochschule Campus Wien;7414;6348;2459;3889;1066;448;618
Lauder Business School;374;78;40;38;296;130;166
Quelle: Statistik Austria – Hochschulstatistik,;;;;;;;
(1) Inkl, ausländische Standorte,;;;;;;;
"Anmerkung: Mehrfachzählungen aufgrund von Mehrfachstudien nicht ausgeschlossen, Öffentliche Universitäten: ordentliche Studierende und Lehrgang-Studierende, 
Privatuniversitäten: ordentliche Studierende und Lehrgang-Studierende, Pädagogische Hochschulen: Lehramt-Studierende, Fachhochschulen: Belegte ordentliche Studien und belegte Lehrgang-Studien,";;;;;;;
