Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung nach Bundesländern 2020;;;;;;;;
Bundesland;Höchste abgeschlossene Ausbildung;;;;;;;
;Pflichtschule (1);Lehre;BMS (2);AHS;BHS (3);Kolleg;Akademie (4);Hochschule (5)
;%;;;;;;;
Österreich insgesamt;17,5;33;14,2;6,5;8,9;0,8;2,1;17
Burgenland;15;34,4;18,6;5,5;11,2;0,8;2,2;12,2
Kärnten;13,7;38,7;15,3;4,9;10,4;0,7;2,3;13,9
Niederösterreich;15,3;34,3;16,9;5,5;10,9;0,9;2,2;14
Oberösterreich;18,5;37,8;15,2;4,1;8,6;0,5;2,3;13
Salzburg;16;35,9;15;5,8;8,3;0,7;2,3;16
Steiermark;15;37,8;14,2;5,7;8,9;1;2;15,4
Tirol;17,3;35,5;15,8;5,3;7,7;0,8;2,4;15,1
Vorarlberg;20,3;35,2;15,8;4,8;7,8;0,8;2,5;12,9
Wien;21,3;21,1;9,1;11,3;7,5;1;1,7;27,1
Quelle: Statistik Austria – Bildungsstandregister,;;;;;;;;
"(1) Inklusive Personen ohne Pflichtschulabschluss,
(2) Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung,
(3) Inklusive lehrerbildende höhere Schulen,
(4) Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen_ inklusive Abschlüsse verschiedener Universitätslehrgänge,
(5) Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten, Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters,";;;;;;;;
