Öffentliche Bildungsausgaben Wiens nach Bildungseinrichtungen seit 2000;;;;;;;
Jahr;insgesamt;Kindertagesheime (1);"Allgemein bildende
Pflichtschulen";Berufsschulen;BMS, BHS (2);Fachhochschulen;"Ministerium,
Verwaltung (3)"
;in Mio, Euro;;;;;;
2000;922,219648;239,596;610,45196;54,835051;8,818438;0,745042;7,773157
2001;917,365748;243,220854;602,535719;53,402096;7,714881;2,526033;7,966165
2002;946,0410149999999;250,755869;627,395012;50,762405;7,807312;1,387179;7,933238
2003;935,7347020000001;256,94919;607,85157;51,169604;7,878649;3,387979;8,49771
2004;910,2379669999999;276,188986;560,219452;50,564676;11,160637;3,27616;8,828056
2005;947,716498;296,233356;575,711361;52,816169;11,236737;2,733521;8,985354
2006;997,623451;310,660201;605,497182;57,522954;11,757641;2,80087;9,384603
2007;1018,6543479999999;317,207653;616,199568;61,53022;11,405818;2,695645;9,615444
2008;1123,577243;345,028247;686,640326;63,876838;12,024157;2,669009;13,338666
2009;1240,5729769999998;400,095991;744,40644;67,018902;12,631976;3,895683;12,523985
2010;1383,735464;520,9491;763,466463;69,667788;14,109533;2,668435;12,874145
2011;1435,722833;559,706802;774,836429;69,99806;13,504848;2,980291;14,696403
2012;1464,9257069999996;576,156991;788,850524;69,418564;13,479932;3,344334;13,675362
2013;1567,0532420000002;631,831177;832,871025;71,928053;13,520839;3,106418;13,79573
2014;1672,713405;672,676971;889,213845;77,886618;14,227498;3,608331;15,100142
2015;1787,1499999999996;698,87;979,41;74,86;14,37;3,85;15,79
2016;1883,6108444699998;718,7742088100001;1057,8922767899999;73,96427271;14,174078159999999;3,8772121900000003;14,92879581
2017;1979,11530637;743,0288482700001;1127,41037896;74,36296801;14,258129510000002;3,91597686;16,13900476
2018;2021,6300000000003;763,33;1149,2;74,57;14,38;3,92;16,23
2019;2100,06;793,9;1192,83;81,53;13,22;2,14;16,44
2020;2156,7200000000003;824,04;1213,91;85,54;12,91;3,9;16,42
Quelle: Statistik Austria - Bildungsausgabenstatistik,;;;;;;;
"(1) Kindergärten, altersgemischte Einrichtungen, Krippen, Horte,
(2) Inkl, Bildungsanstalten für Kindergartenpädagogik, Bildungsanstalten für Sozialpädagogik und sonstige BMS und BHS, 
(3) Verwaltung auf Bundes-, Landes- und Gemeindeebene, inklusive Studienbeihilfen, bildungsrelevante Teile der Familienbeihilfe und
Sozialleistungen wie SchülerInnenfreifahrt, sonstige Schulen,";;;;;;;
;;;;;;;
