Unternehmenssektor: Ausgaben für F&E und Beschäftigte in F&E nach Beschäftigtengrößenklassen in Wien 2017;;;;;;;
Beschäftigtengrößenklassen der Unternehmen *;Anzahl der F&E durchführenden Erhebungseinheiten;Interne Ausgaben für F&E;;Beschäftigte in F&E;;;
;;in 1,000 EUR;in %;"in Vollzeit-
äquivalenten";in %;in Kopfzahlen;in %
Insgesamt;848;1874852;100;11057,999999999998;100;15588;100
Weniger als 10 Beschäftigte;396;74115;4;760,9000000000002;6,9;1448;9,3
10–49 Beschäftigte;252;235462;12,6;1761,3999999999999;15,9;2769;17,8
50–249 Beschäftigte;125;261417;13,9;2034,7999999999997;18,4;2964;19
250–999 Beschäftigte;52;605949;32,3;3337,3999999999996;30,2;3906;25,1
1,000 und mehr Beschäftigte;23;697909;37,2;3163,4999999999995;28,6;4501;28,9
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2017, Sonderauswertung für Wien, erstellt am 19,09,2019,;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;;
* Umfasst den firmeneigenen Bereich und den kooperativen Bereich,;;;;;;;
