F&E: Erhebungseinheiten, Beschäftigte, Ausgaben nach Durchführungssektoren in Wien und Österreich 2019;;;
"Erhebungseinheiten, Beschäftigte, 
Ausgaben, Fizierung";Wien (1);Österreich;Anteil Wiens an Österreich
;;;%
F&E-durchführende Erhebungseinheiten;;;
Insgesamt;1720;5569;30,885257676423056
Beschäftigte – Köpfe;;;
Insgesamt;50637;144117;35,1360353046483
Wissenschaftliches Personal;36261;93179;38,91542085663078
Höher qualifiziertes nicht wissenschaftliches Personal;10808;40121;26,938511004212256
Hilfspersonal;3568;10817;32,98511602107793
Beschäftigte – Vollzeitäquivalente;;;
Insgesamt;25225;83659,9;30,151840965623915
Wissenschaftliches Personal;17892;52794,3;33,89002221830766
Höher qualifiziertes nicht wissenschaftliches Personal;5882,2;25587,4;22,988658480345794
Hilfspersonal;1450,9;5278,2;27,48853775908454
Ausgaben in 1,000, EUR inkl, LKH;;;
Insgesamt;3910879;12441232;31,434820924487223
Personalausgaben;2051158;6358651;32,2577540424848
Laufende Sachausgaben;1648983;5196068;31,73520823822937
Ausrüstungsinvestitionen;157475;690132;22,818098566651017
Bauausgaben und Liegenschaftsankäufe;53263;196381;27,12227761341474
Ausgaben in 1,000 EUR ohne LKH;;;
Insgesamt;3842136;12218389;31,445520354606487
Grundlagenforschung;982103;2173911;45,17678046617364
Angewandte Forschung;1324794;4139144;32,00647283592936
Experimentelle Entwicklung;1535239;5905334;25,997496500621303
Ausgaben nach Durchführungssektoren in 1,000 EUR;;;
Insgesamt;3910879;12441232;31,434820924487223
Hochschulsektor;1326912;2711410;48,938080187061345
Universitäten (ohne Kliniken);1088609;2112798;51,52451867144895
Universitätskliniken;169664;279062;60,79795887652206
Universitäten der Künste;31528;49097;64,21573619569423
Fachhochschulen;21971;133171;16,49833672496264
Privatuniversitäten;10624;;–
Pädagogische Hochschulen;4516;18212;24,796837250164728
Sonstiger Hochschulsektor;–;119070;–
Sektor Staat;526810;913295;57,68234798175836
darunter Landeskrankestalten;68743;222843;30,848175621401612
darunter Akademie der Wissenschaften;147198;170575;86,29517807416093
Privater gemeinnütziger Sektor;35950;67384;53,35094384423602
Unternehmenssektor;2021207;8749143;23,1017712249074
Kooperativer Bereich;20552;192992;10,649146078593931
Firmeneigener Bereich;2000655;8556151;23,382651848944693
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2019, sowie Sonderauswertung für Wien 2019,;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;
(1) Regionale Zuordnung nach dem Hauptstandort (Sitz) des Unternehmens,;;;
