Fizierung der Ausgaben für F&E nach Durchführungssektoren und Fizierungsbereichen * in Wien 2017;;;;;;;
"F&E durchgeführt in den
Sektoren, Bereichen";Insgesamt;Fizierungsbereiche – fiziert durch;;;;;
;;Unternehmens-sektor;öffentlicher Sektor;privater gemeinnütziger Sektor;Hochschul-sektor **;Ausland einschl, internat, Organisationen (ohne EU);EU
;;;;;;;
;in 1,000 EUR;;;;;;
Insgesamt;3627069;1490812;1523130;23883;48321;440444;100479
Hochschulsektor ***;1252494;38852;1093569;5152;47990;24598;42333
Universitäten (ohne Kliniken);1038716;29548;920227;3664;28070;18497;38710
Universitätskliniken;147975;7776;122544;1319;9130;5394;1812
Universitäten der Künste;27217;406;26072;56;64;94;525
Fachhochschulen;23892;1035;20546;100;1985;41;185
Sonstiger Hochschulsektor ****;14694;87;4180;13;8741;572;1101
Sektor Staat *****;467627;45261;369496;3244;180;12214;37232
Landeskrankestalten;64573;;64573;;;;
Akademie der Wissenschaften;125072;7140;107889;135;–;2906;7002
Privater gemeinnütziger Sektor;32096;10498;2215;12573;–;5686;1124
Unternehmenssektor;1874852;1396201;57850;2914;151;397946;19790
Kooperativer Bereich ******;17766;6271;9884;181;–;1024;406
Firmeneigener Bereich;1857086;1389930;47966;2733;151;396922;19384
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2017, Sonderauswertung für Wien, erstellt am 19,09,2019,;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;;
"* Die Fizierung durch die Forschungsprämie wird nun nicht dem öffentlichen Sektor zugerechnet, sondern, entsprechend den revidierten internationalen Richtlinien der F&E-Statistik (Frascati-Handbuch 2015), als Teil der eigenen Mittel der F&E betreibenden Einrichtung angesehen (z,B, bei Unternehmen: Fizierung durch den Unternehmenssektor), 
** 2017 erstmals als eigener Sektor bei der Fizierung - vorher beim öffentlichen Sektor inkludiert,  Einschließlich Eigenmittel der Hochschulen, die aus Einnahmen für Gutachten, Prüfungen und Untersuchungen im Auftrag Dritter stammen_ außerdem Einnahmen aus Spenden und Sponsoring sowie Studiengebühren, 
*** Ohne Österreichische Akademie der Wissenschaften, 
**** Privatuniversitäten und Pädagogische Hochschulen, 
***** Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand fizierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ einschließlich Landeskrankestalten, Die Landeskrankestalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria auf Basis der Meldungen der Ämter der Landesregierungen, 
****** Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren,";;;;;;;
