Fizierung der F&E-Ausgaben nach Wissenschaftszweigen * und Fizierungsbereichen ** in Wien 2017;;;;;;;;
Wissenschaftszweige;F&E durchführende Erhebungseinheiten;Fizierungsbereiche;;;;;;
;;Insgesamt;Unternehmens-sektor;"Öffentlicher 
Sektor";Privater gemeinnütziger Sektor;Hochschul-sektor ***;Ausland einschl, internationaler Organisationen (ohne EU);EU
;;;;;;;;
;;in 1,000 EUR;;;;;;
Insgesamt ****;712;1752217;94611;1465280;20969;48170;42498;80689
Naturwissenschaften;142;465676;18280;406198;1141;4573;11251;24233
Technische Wissenschaften;79;347863;37006;266441;459;6575;8985;28397
"Humanmedizin, Gesundheits-
wissenschaften ****";77;383847;17121;311420;10182;25480;12595;7049
"Agrarwissenschaften,
Veterinärmedizin";67;100679;3777;90258;692;727;1609;3616
Sozialwissenschaften;226;260300;15125;207129;7477;10482;5718;14369
Geisteswissenschaften;121;193852;3302;183834;1018;333;2340;3025
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2017, Sonderauswertung für Wien, erstellt am 19,09,2019,;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;;;
"* Für: Hochschulsektor, öffentlicher Sektor Staat (einschließlich Landeskrankestalten) und privater gemeinnütziger Sektor,
** 2017 erstmals als eigener Sektor bei der Fizierung - vorher beim öffentlichen Sektor inkludiert,   Die Fizierung durch die Forschungsprämie wird nicht dem öffentlichen Sektor zugerechnet, sondern, entsprechend den revidierten internationalen Richtlinien der F&E-Statistik (Frascati-Handbuch 2015), als Teil der eigenen Mittel der F&E betreibenden Einrichtung angesehen, 
*** Einschließlich Eigenmittel der Hochschulen, die aus Einnahmen für Gutachten, Prüfungen und Untersuchungen im Auftrag Dritter stammen_ außerdem Einnahmen aus Spenden und Sponsoring sowie Studiengebühren, 
**** Anzahl der Erhebungseinheiten ohne Landeskrankestalten,";;;;;;;;
