Gebäude nach Eigentumsverhältnissen und Gemeindebezirken 2001 und 2011;;;;;;;;;;
Gemeindebezirk;Gebäude im Eigentum von…;;;;;;;;;
;Gebietskörperschaften;;"gemeinnützigen
Bauvereinigungen";;"sonstigen
juristischen Personen";;Privatpersonen;;;
;2001;2011,0;2001;2011,0;2001;2011,0;2001;2011,0;;
Wien;26028;25915,0;15741;17156,0;14117;10347,0;112281;111328,0;;
1, Innere Stadt;233;331,0;5;10,0;794;585,0;691;613,0;;
2, Leopoldstadt;1027;994,0;113;175,0;714;477,0;3269;3112,0;;
3, Landstraße;872;873,0;103;140,0;766;581,0;2211;2138,0;;
4, Wieden;193;238,0;22;24,0;375;290,0;993;924,0;;
5, Margareten;381;428,0;72;82,0;317;276,0;1413;1328,0;;
6, Mariahilf;200;234,0;49;60,0;287;197,0;1046;948,0;;
7, Neubau;128;158,0;50;66,0;442;299,0;1288;1029,0;;
8, Josefstadt;76;114,0;20;30,0;321;220,0;868;766,0;;
9, Alsergrund;303;321,0;48;56,0;490;373,0;1242;1160,0;;
10, Favoriten;3734;3637,0;1357;1489,0;790;525,0;7622;7307,0;;
11, Simmering;1600;1516,0;877;985,0;771;359,0;4055;4071,0;;
12, Meidling;1379;1348,0;1217;1273,0;585;446,0;4094;3891,0;;
13, Hietzing;1699;1569,0;536;579,0;522;433,0;7756;7535,0;;
14, Penzing;1573;1497,0;858;913,0;553;446,0;9904;9532,0;;
15, Rudolfsheim-Fünfhaus;668;694,0;128;152,0;375;313,0;2704;1958,0;;
16, Ottakring;1103;1151,0;529;585,0;480;393,0;4651;4494,0;;
17, Hernals;470;475,0;330;361,0;342;300,0;4939;4877,0;;
18, Währing;402;463,0;91;115,0;430;322,0;3784;3685,0;;
19, Döbling;1214;1242,0;454;517,0;734;594,0;6248;6162,0;;
20, Brigittenau;966;879,0;196;228,0;314;234,0;1174;1093,0;;
21, Floridsdorf;3260;3257,0;1747;1990,0;1309;775,0;12753;12961,0;;
22, Donaustadt;2853;2803,0;5539;5807,0;1316;1099,0;18310;20191,0;;
23, Liesing;1694;1693,0;1400;1519,0;1090;810,0;11266;11553,0;;
Quelle: Statistik Austria – Gebäude- und Wohnungszählung 2001 und Registerzählung 2011,;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
