Wohnungsbestand und -nutzfläche nach Gemeindebezirken 1991, 2001 und 2011;;;;;;;;
Gemeindebezirk;Wohnungsbestand;;;Nutzfläche in 1,000 m²;;;;
;1991;2001,0;2011,0;1991;2001;2011,0;;
Wien;853091;910745,0;983840,0;56302;63011,102;69232,85399999999;;
1, Innere Stadt;11259;11515,0;11740,0;1093;1146,047;1154,357;;
2, Leopoldstadt;48593;49667,0;53895,0;3192;3313,662;3639,673;;
3, Landstraße;48507;48520,0;51327,0;3343;3476,509;3681,524;;
4, Wieden;18620;18806,0;19333,0;1472;1519,618;1575,008;;
5, Margareten;30507;31475,0;33081,0;1822;1950,165;2062,589;;
6, Mariahilf;17264;18198,0;18545,0;1280;1362,727;1397,358;;
7, Neubau;17859;18735,0;19087,0;1322;1403,943;1454,278;;
8, Josefstadt;14316;14734,0;14867,0;1106;1175,37;1189,968;;
9, Alsergrund;25394;25443,0;26271,0;1824;1891,912;1954,626;;
10, Favoriten;82589;86764,0;97092,0;4783;5303,435;6096,59;;
11, Simmering;33518;40856,0;46962,0;2113;2704,617;3175,171;;
12, Meidling;44295;46874,0;50696,0;2652;2925,708;3206,431;;
13, Hietzing;29240;30351,0;31335,0;2287;2470,267;2615,243;;
14, Penzing;46560;48741,0;51153,0;3009;3316,161;3556,129;;
15, Rudolfsheim-Fünfhaus;39179;39247,0;41465,0;2162;2296,162;2465,021;;
16, Ottakring;53216;53411,0;57339,0;2908;3136,172;3438,192;;
17, Hernals;30865;30706,0;32846,0;1824;1971,198;2155,734;;
18, Währing;29188;29824,0;30904,0;2076;2233,297;2352,654;;
19, Döbling;38873;39608,0;41910,0;2910;3103,986;3342,496;;
20, Brigittenau;39540;43320,0;45993,0;2240;2558,012;2756,96;;
21, Floridsdorf;61535;69579,0;76990,0;4088;4884,715;5575,261;;
22, Donaustadt;53029;69539,0;81341,0;3840;5359,624;6426,297;;
23, Liesing;39145;44832,0;49668,0;2956;3507,795;3961,294;;
Quelle: Statistik Austria – Gebäude- bzw, Häuser- und Wohnungszählungen 1991–2001, Registerzählung 2011,;;;;;;;;
;;;;;;;;
;;;;;;;;
