Wohnungen nach Hauptwohnsitz und Gemeindebezirken 1991, 2001 und 2011;;;;;;;;
Gemeindebezirk;Wohnungen mit Hauptwohnsitz;;;Wohnungen ohne Hauptwohnsitz;;;;
;1991;2001,0;2011,0;1991;2001;2011,0;;
Wien;738962;770955,0;837617,0;114129;139790;146223,0;;
1, Innere Stadt;9276;8908,0;8635,0;1983;2607;3105,0;;
2, Leopoldstadt;43920;43165,0;45837,0;4673;6502;8058,0;;
3, Landstraße;42134;41665,0;43472,0;6373;6855;7855,0;;
4, Wieden;15725;15185,0;15875,0;2895;3621;3458,0;;
5, Margareten;26221;25563,0;27603,0;4286;5912;5478,0;;
6, Mariahilf;14858;14746,0;15342,0;2406;3452;3203,0;;
7, Neubau;15277;15097,0;16257,0;2582;3638;2830,0;;
8, Josefstadt;11770;11650,0;11918,0;2546;3084;2949,0;;
9, Alsergrund;20477;19877,0;20799,0;4917;5566;5472,0;;
10, Favoriten;71862;75964,0;85404,0;10727;10800;11688,0;;
11, Simmering;30469;36801,0;42100,0;3049;4055;4862,0;;
12, Meidling;39479;40032,0;43275,0;4816;6842;7421,0;;
13, Hietzing;25062;24698,0;24903,0;4178;5653;6432,0;;
14, Penzing;38786;39649,0;42526,0;7774;9092;8627,0;;
15, Rudolfsheim-Fünfhaus;34696;32916,0;35614,0;4483;6331;5851,0;;
16, Ottakring;45099;44358,0;48255,0;8117;9053;9084,0;;
17, Hernals;24953;24000,0;26100,0;5912;6706;6746,0;;
18, Währing;24223;22984,0;24332,0;4965;6840;6572,0;;
19, Döbling;33157;32939,0;34247,0;5716;6669;7663,0;;
20, Brigittenau;35603;38205,0;40342,0;3937;5115;5651,0;;
21, Floridsdorf;54901;61206,0;68150,0;6634;8373;8840,0;;
22, Donaustadt;45456;61429,0;72454,0;7573;8110;8887,0;;
23, Liesing;35558;39918,0;44177,0;3587;4914;5491,0;;
Quelle: Statistik Austria – Gebäude- bzw, Häuser- und Wohnungszählungen 1991–2001, Registerzählung 2011,;;;;;;;;
;;;;;;;;
;;;;;;;;
