Wohnungen nach Nutzfläche und Gemeindebezirken 1981, 1991, 2001 und 2011;;;;;;;;;;
Gemeindebezirk;Ø Wohnnutzfläche in m²;;;;;;;;;
;pro Wohnung;;;;pro BewohnerIn;;;;;
;1981;1991,0;2001,0;2011,0;1981;1991,0;2001;2011,0;;
Wien;64;68,0;70,90905046338632;72,365105;31;33,0;37,93135085590264;35,3595188968555;;
1, Innere Stadt;101;100,0;103,75202065559048;103,901563404748;51;53,0;55,783619024625786;54,79357518016367;;
2, Leopoldstadt;65;67,0;68,20843275802154;69,5415275868839;30;32,0;34,23149902917137;33,16486843611166;;
3, Landstraße;68;70,0;72,7259330373215;73,5915991902834;34;36,0;39,136779293242405;37,84795390821868;;
4, Wieden;80;81,0;83,14771155745802;84,1986141732283;41;42,0;45,553198398095034;43,53918566775244;;
5, Margareten;58;61,0;63,29613112701952;64,1745100170271;30;32,0;33,87073747671181;33,68017872421333;;
6, Mariahilf;74;76,0;76,94418825444188;78,1828966236475;37;39,0;42,30495898583147;40,833429787234046;;
7, Neubau;72;75,0;77,170033781546;78,2986405855939;37;40,0;42,53042748147337;42,403177987274724;;
8, Josefstadt;77;80,0;82,78137339055795;83,1414666890417;40;42,0;45,052929085303184;42,11313697989715;;
9, Alsergrund;72;74,0;77,6203149368617;78,0956295975768;37;39,0;42,73729259577297;41,340536000610825;;
10, Favoriten;55;60,0;62,341056289821495;64,4155425975364;26;29,0;34,310028545346526;30,90834265038851;;
11, Simmering;61;64,0;67,46354718621777;68,8727315914489;26;29,0;35,696994967649175;31,832665473668033;;
12, Meidling;57;61,0;63,50871802557953;64,7728249566724;28;31,0;34,12775182560137;31,67173994101895;;
13, Hietzing;78;81,0;85,06178637946392;87,8676063124924;36;40,0;45,52628613530967;43,22219808003793;;
14, Penzing;62;67,0;70,99465308078388;72,3141842637445;30;34,0;38,12271625336891;36,234202495552076;;
15, Rudolfsheim-Fünfhaus;53;56,0;59,674930125167094;61,1176222833717;28;28,0;31,45684864596512;30,533947759728417;;
16, Ottakring;52;56,0;60,30650615447045;62,3168169101647;27;29,0;32,34987665070382;31,424101824565803;;
17, Hernals;57;62,0;66,76175;68,5051340996168;29;31,0;34,94617230098146;34,04322080691533;;
18, Währing;68;73,0;77,7119300382875;78,9259411474601;35;37,0;41,365733342597096;40,32221219056417;;
19, Döbling;74;77,0;79,91022799720696;81,5118404531783;35;38,0;43,71129415281399;40,867495278668365;;
20, Brigittenau;54;58,0;59,7579374427431;61,4870606315998;27;29,0;31,74344428686633;29,75803781371467;;
21, Floridsdorf;63;68,0;71,86664706074568;73,9960088041085;27;32,0;38,38414953401515;35,02888262180298;;
22, Donaustadt;71;75,0;79,2896351885917;80,9252215198608;28;32,0;41,76935742524162;36,32382804998173;;
23, Liesing;72;77,0;79,98256425672629;81,4214183851325;30;34,0;42,881525753811026;38,080736004065386;;
Quelle: Statistik Austria – Gebäude- bzw, Häuser- und Wohnungszählungen 1981–2001, Registerzählung 2011 (Hauptwohnsitze),;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
