Bewohnte Wohnungen nach Gemeindebezirken 2022;;;;;;;;;;
Gemeindebezirk;Insgesamt;Bewohnte Wohnungen zum Stichtag 1, 1, – davon mit … Personen;;;;;;;Gemeldete Hauptwohnsitze (3);
;;1;2,0;3,0;4,0;5,0;6 und mehr;;insgesamt;je Wohnung
;;;;;;;Nw (1);Np (2);abs,;
Wien;958521;439727;267324,0;118240,0;81950,0;32019,0;19261;137087;1954077;2,0386376511312743
1, Innere Stadt;8723;4498;2376,0;975,0;546,0;201,0;127;881;16245;1,8623180098589935
2, Leopoldstadt;53388;25835;14204,0;6365,0;4178,0;1677,0;1129;8069;106504;1,994905222147299
3, Landstraße;49708;24487;13934,0;5745,0;3629,0;1218,0;695;5217;95413;1,919469703065905
4, Wieden;17316;8462;4824,0;2091,0;1254,0;464,0;221;1536;33255;1,9204781704781704
5, Margareten;29121;14794;8035,0;3229,0;1843,0;774,0;446;3056;54849;1,8834861440197797
6, Mariahilf;16953;8729;4781,0;1868,0;1041,0;331,0;203;1560;31274;1,8447472423759808
7, Neubau;17707;9211;4978,0;1959,0;1033,0;340,0;186;1258;32134;1,8147625232958717
8, Josefstadt;13051;6744;3642,0;1449,0;852,0;219,0;145;1743;24621;1,8865221055857788
9, Alsergrund;22954;11927;6471,0;2475,0;1396,0;446,0;239;2054;42162;1,8368040428683454
10, Favoriten;99517;43086;27365,0;12585,0;9391,0;4333,0;2757;19059;213859;2,1489695227951002
11, Simmering;48920;20318;13520,0;6636,0;5074,0;2133,0;1239;8585;106812;2,1834014717906784
12, Meidling;48719;22893;13207,0;5820,0;3964,0;1727,0;1108;7630;98888;2,029762515650978
13, Hietzing;27144;12628;7516,0;3416,0;2375,0;803,0;406;3025;54448;2,005894488653109
14, Penzing;46971;21836;13271,0;5757,0;3948,0;1372,0;787;5620;93921;1,9995529156287923
15, Rudolfsheim-Fünfhaus;39449;19543;10594,0;4491,0;2838,0;1226,0;757;5587;77273;1,958807574336485
16, Ottakring;51591;24746;14114,0;6063,0;3954,0;1639,0;1075;7793;102967;1,9958326064623675
17, Hernals;28349;13261;7879,0;3453,0;2315,0;932,0;509;3691;56989;2,010264912342587
18, Währing;26640;13145;7003,0;3239,0;2185,0;715,0;353;2565;51748;1,9424924924924925
19, Döbling;37866;18458;10214,0;4305,0;3069,0;1144,0;676;5197;74994;1,9805102202503566
20, Brigittenau;42859;20919;11354,0;4784,0;3272,0;1539,0;991;6699;85461;1,994003593177629
21, Floridsdorf;84213;35808;24180,0;10948,0;8030,0;3190,0;2057;14058;179140;2,12722501276525
22, Donaustadt;93511;36320;27913,0;13399,0;10179,0;3661,0;2039;14039;205403;2,1965651099870604
23, Liesing;53851;22079;15949,0;7188,0;5584,0;1935,0;1116;8165;115717;2,1488366047055765
Quelle: Statistik Austria – Gebäude- bzw, Häuser- und Wohnungszählungen 1991 und 2001_ Stadt Wien Wahlen und verschiedene Rechtsangelegenheiten/Wien Digital – Lokales Melderegister_ Stadt Wien Wirtschaft, Arbeit und Statistik – Wiener Bevölkerungsregister,;;;;;;;;;;
"(1) Nw = Anzahl der Wohnungen mit 6 und mehr gemeldeten Personen,
(2) Np = Gesamtzahl der Personen in Wohnungen mit 6 und mehr gemeldeten Personen,
(3) Die Anzahl der gemeldeten Hauptwohnsitze ist unbereinigt und weicht daher vom offiziellen Bevölkerungsstand (siehe Kapitel 5) leicht ab,";;;;;;;;;;
