Kleingärten in Wien nach Flächenwidmung seit 2017;;;;;;;;;;
Flächenwidmung;Berichtsjahr;;;;;;;;;
;2017;;2018;;2019;;2020;;2021;
;abs,;ha;abs,;ha;abs,;ha;abs,;ha;abs,;ha
Parzellen;35816;1427,6326000000001;35808;1429,946;35844;1431,6;35874;1432,3111999999999;35918;1432,1452
Kleingartengebiete;2372;84,994;2285;82,32920000000001;2285;82,4;2280;81,7532;2244;80,1817
Für ganzjähriges Wohnen;24226;926,4832000000001;24314;932,0372000000001;24343;933,5000000000001;24357;933,7598;24394;935,2493000000001
Gartensiedlungsgebiete;5770;273,4189999999999;5809;274,621;5812;274,8;5820;274;5992;283,98499999999996
Bauland;559;18,9137;507;16,918;507;16,8;517;17,3346;516;17,3216
Grundflächen für Badehütten;1645;39,603500000000004;1645;39,603500000000004;1649;39,6;1649;39,6955;1524;29,595499999999998
Erholungs-, Agrar- und Schutzgebiete;653;56,93809999999999;657;57,5315;657;57,50000000000001;661;58,9246;661;58,92459999999999
Verkehrsflächen (1);591;27,2811;591;26,905600000000003;591;27,000000000000004;590;26,8435;587;26,887499999999996
Quelle: Stadt Wien Immobilienmanagement,;;;;;;;;;;
(1) Derzeit noch nicht für den Verkehr genützte Flächen,;;;;;;;;;;
;;;;;;;;;;
