Niedergelassene Ärztinnen und Ärzte sowie Apotheken nach Gemeindebezirken 2021;;;;;;;;;
Gemeindebezirk;Niedergelassene Ärztinnen und Ärzte;;;;;;;;Öffentliche Apotheken
;FachärztInnen;FachärztInnen darunter für…;;;;;"Allgemein-
mediziner-
Innen";"Zahn-
ärztInnen";
;;Innere Medizin;"Frauen-
heilkunde";Chirurgie;Orthopädie;Haut- und Geschlechtskrankheiten;;;
Wien;4135;661;376;257;302;266;1449;942;332
1, Innere Stadt;405;60;43;18;27;36;83;87;21
2, Leopoldstadt;156;23;15;14;8;8;79;40;20
3, Landstraße;219;42;15;13;13;12;73;60;16
4, Wieden;119;24;11;1;12;5;34;33;7
5, Margareten;91;13;4;7;11;4;37;26;9
6, Mariahilf;132;21;16;10;8;10;42;32;7
7, Neubau;121;12;10;4;11;11;47;28;9
8, Josefstadt;261;46;31;16;23;14;51;32;5
9, Alsergrund;473;97;34;37;21;25;63;71;13
10, Favoriten;118;19;16;4;13;14;94;60;29
11, Simmering;54;6;4;2;3;5;42;23;12
12, Meidling;102;11;14;7;10;8;69;44;16
13, Hietzing;261;48;14;16;23;16;88;30;8
14, Penzing;131;20;13;6;12;4;62;44;15
15, Rudolfsheim-Fünfhaus;75;12;9;7;5;4;46;28;14
16, Ottakring;94;17;12;6;6;5;66;34;15
17, Hernals;140;13;10;10;7;9;33;24;10
18, Währing;276;41;22;21;13;22;75;38;12
19, Döbling;392;66;35;26;31;18;77;51;12
20, Brigittenau;74;11;5;5;4;5;44;27;12
21, Floridsdorf;126;8;12;11;9;8;81;44;27
22, Donaustadt;187;25;19;10;15;13;92;56;25
23, Liesing;128;26;12;6;17;10;71;30;18
Quelle: Ärztekammer für Wien, Landeszahnärztekammer für Wien und Österreichische Apothekerkammer,;;;;;;;;;
Anmerkung: Stand zum 31, 12,;;;;;;;;;
