Arbeitsunfälle und Berufskrankheiten in Wien nach Wirtschaftstätigkeiten und Geschlecht 2021;;;;;;;;
Wirtschaftstätigkeit (ÖNACE 2008);Arbeitsunfälle (inkl, Wegunfälle);;;;Berufskrankheiten;;;
;insgesamt;Geschlecht;;"darunter
tödlich";insgesamt;Geschlecht;;darunter tödlich
;;Männer;Frauen;;;Männer;Frauen;
Wien;15458;9873;5585;13;901;248;653;12
Land- und Forstwirtschaft, Fischerei;14;8;6;2;0;0;0;0
Bergbau und Gewinnung von Steinen und Erden;0;0;0;0;0;0;0;0
Herstellung von Waren;1133;873;260;0;15;12;3;0
Energieversorgung;61;53;8;0;0;0;0;0
"Wasserversorgung, Abwasser- und 
Abfallentsorgung und Beseitigung 
von Umweltverschmutzungen";54;51;3;0;0;0;0;0
Bau;2546;2479;67;4;33;33;0;8
"Handel, Instandhaltung und 
Reparatur von Kraftfahrzeugen";2442;1348;1094;0;4;4;0;0
Verkehr und Lagerei;728;642;86;3;3;3;0;0
Beherbergung und Gastronomie;946;587;359;2;0;0;0;0
Information und Kommunikation;343;253;90;0;2;2;0;0
"Erbringung von Fiz- und 
Versicherungs-Dienstleistungen";162;75;87;0;1;1;0;0
Grundstücks- und Wohnungswesen;210;105;105;0;0;0;0;0
"Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen";558;280;278;0;3;3;0;1
"Erbringung von sonstigen 
wirtschaftlichen Dienstleistungen";2228;1642;586;1;30;11;19;3
"Öffentliche Verwaltung, Verteidigung, 
Sozialversicherung";1003;325;678;0;131;30;101;0
Erziehung und Unterricht;526;199;327;0;38;4;34;0
Gesundheits- und Sozialwesen;1879;570;1309;1;638;145;493;0
Kunst, Unterhaltung und Erholung;315;232;83;0;0;0;0;0
Erbringung von sonstigen Dienstleistungen;290;144;146;0;3;0;3;0
Private Haushalte mit Hauspersonal, Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte für den Eigenbedarf ohne ausgeprägtem Schwerpunkt;12;2;10;0;0;0;0;0
Exterritoriale Organisationen und Körperschaften;8;5;3;0;0;0;0;0
Kein Wert vorhanden/nicht relevant;0;0;0;0;0;0;0;0
Quelle: Allgemeine Unfallversicherungsanstalt,;;;;;;;;
Anmerkung: Vorläufige Zahlen, Ohne selbstständig Erwerbstätige und ohne sonstige im Schadensfall geschützte Personen, Betriebsort ist Wien,;;;;;;;;
