Lufttemperatur in Wien seit 1951;;;;;;
Jahr;Jahresmittel;Höchste Temperatur;;Tiefste Temperatur;;
;°C;°C;Tag;°C;Tag;
1951;10,3;30,2;4, 8,;-5,4;4, 3,;
1952;9,3;33,9;15, 8,;-10,5;29, 1,;
1953;10,1;32,2;18, 7,;-12,5;9, 2,;
1954;8,8;31,3;22, 8,;-18,2;27, 1,;
1955;8,9;31,2;19, 7,;-11,2;4, 3,;
1956;8,3;31,6;3, 9,;-22,6;10, 2,;
1957;9,9;38,3;8, 7,;-13,7;18, 1,;
1958;9,7;33;16, 7,;-10,1;28, 1,;
1959;9,8;32,7;12, 7,;-9,6;12, u, 14, 2,;
1960;9,5;30,4;27, 8,;-14,5;15, 1,;
1961;10,2;33,7;10, 8,;-15;25, 12,;
1962;8,6;34,1;15, 8,;-14,8;28, 12,;
1963;8,7;33,7;25, 7,;-16,8;2, 2,;
1964;9,1;33,5;21, 7,;-16,1;20, 1,;
1965;8,6;31,6;26, 6,;-12;6,  2,;
1966;10,1;30,8;14, 8,;-14,3;22, 1,;
1967;10,2;33,3;27, 6,;-10,4;11, 1,;
1968;9,7;34,3;8, 7,;-14,6;10, 1,;
1969;9,2;32,8;27, 7,;-17,2;22, 12,;
1970;9,2;31,9;14, 7,;-12;2, 2,;
1971;9,8;34,9;7, 8,;-15,3;5, 3,;
1972;9,3;31,7;10, 7,;-10,5;16, 1,;
1973;9,6;32,5;7, 8,;-10,4;3, 12,;
1974;10,2;36,1;17, 8,;-2,7;22, 1,;
1975;10,1;29,8;15, 6,;-11,5;19, 12,;
1976;9,6;34;19, 7,;-11,5;31, 12,;
1977;10,1;30;18, 6, u, 13, 7,;-8,1;19, 1,;
1978;9,1;30;29, 7, u, 7, 8,;-14,5;21, 2,;
1979;9,6;31,4;2, 8,;-12,8;1, 1,;
1980;8,7;30,6;21, 8,;-12,7;13, 1,;
1981;10,1;32,3;2, 8,;-13,9;21, 12,;
1982;10;32;13, 8,;-14,5;10, 1,;
1983;10,8;36;27, 7,;-10,9;16, 2,;
1984;9,4;33,2;11, 7,;-8,8;17, 2,;
1985;9;33,4;29, 7,;-19,6;7, 1,;
1986;9,6;32,7;4, 8,;-14,9;8, 2,;
1987;9,3;32,6;17, 7,;-19,4;13, 1,;
1988;10,4;36;24, 7,;-9,5;17, 12,;
1989;10,7;32;8, 7,;-9,9;11, 12,;
1990;10,9;33,5;13, 8,;-9,8;9, 1,;
1991;9,7;33,9;12, 7,;-15,9;6, 2,;
1992;11,1;36,4;28, 8,;-10;29, 12,;
1993;10,8;33,1;4, 8,;-13,9;3, 1,;
1994;11,8;34,4;30, 7,;-11,5;15, 2,;
1995;10,4;33,4;22, 7,;-10,8;29, 12,;
1996;8,9;31,2;10, 6,;-18,1;28, 12,;
1997;10;31,4;29, 6,;-10,2;13, 1,;
1998;10,8;35,2;12, 8,;-13,7;1, 2,;
1999;10,7;35,3;6, 7,;-9;1, 2,;
2000;11,7;37;19, 8,;-9,8;24, 1,;
2001;10,6;35,4;15, 7,;-13,6;13, 12,;
2002;11,3;35,1;23, 6,;-12,3;4, 1,;
2003;11;37,6;13, 8,;-13,7;9, 1,;
2004;10,4;32,4;19, 8,;-12,3;6, 1,;
2005;10,2;35,6;29, 7,;-10,6;9, 2,;
2006;10,7;34,9;21, 7,;-16,1;24, 1,;
2007;11,7;36,8;17, 7,;-7,7;26, 1,;
2008;11,4;32,4;22, 6,;-9;17, 2,;
2009;11;33,5;2, 8,;-12,4;21, 12,;
2010;9,9;34,1;15, 7,;-14,2;19, 12,;
2011;11,1;35,7;26, 8,;-9,9;24, 2,;
2012;11,3;36,3;20, 8,;-15;3, 2,;
2013;10,9;38,5;8,  8,;-9,7;27, 1,;
2014;12;33,2;10, 6,;-9,8;26, 1,;
2015;12,1;37,1;19, 7,;-4,8;3112;
2016;11,5;33,7;11, 7,;-9,6;22, 1,;
2017;11,6;38,4;3, 8,;-12,6;111;
2018;12,4;35,2;9, 8,;-12,4;1, 3,;
2019;12,408333333333331;37;1, 7,;-8,2;22, 1,;
2020;11,9;35,9;28, 7,;-4,7;7, 1,;
2022;12,2;36,3;5, 8,;-7,1;13, 12,;
Quelle: GeoSphere Austria,;;;;;;
