Extreme Wetterwerte in Wien;;
Wetterereignis;Jahr, Monat, Tag;"Mittelwert 
bzw, Extremwert (1)"
;;
Temperatur;;
Heißestes Jahr;2018 und 2019;12,4 °C
Heißester Monat;August 1992;24,5 °C
Heißester Tag (2);8, 8, 2013;38,5 °C
Kältestes Jahr;1829;6,9 °C
Kältester Monat;Februar 1929;-10,0 °C
Kältester Tag;11, 2, 1929;-26,3 °C
Luftfeuchtigkeit;;
Feuchtestes Jahr;1895;81 %
Feuchtester Monat;Dezember 1889;93 %
Trockenstes Jahr;1992 und 2022;67 %
Trockenster Monat (3);April 1946 und Juni 2014;49 %
Niederschlag;;
Niederschlagreichstes Jahr (4);1941;988 mm
Niederschlagreichster Monat (5);Juli 1997;244 mm
Niederschlagärmstes Jahr;1932;404 mm
Niederschlagärmster Monat;November 2011;0 mm
Neuschnee;;
Größte Neuschneemenge;1969/70;227 cm
Kleinste Neuschneemenge;2013/14 und 2019/20;2 cm
Wind;;
Größte Windböenspitze;18, 2, 1946;139 km/h
Quelle: GeoSphere Austria,;;
"(1) Der Mittelwert bzw, Extremwert (Tagestemperaturextremwert) bezieht sich nur auf die Wetterstation Wien-Hohe Warte,
(2) Am gleichen Tag wurden bei der Wetterstation Wien-Innere Stadt 39,5 °C gemessen, 
(3) Die 49 % Luftfeuchtigkeit von Juni 2014 wurden auf der Station Wien-Innere Stadt gemessen,
(4) Die Wetterstation Wien-Mariabrunn registrierte damals sogar 1,108 mm Niederschläge,
(5) Wien-Mariabrunn: 355 mm,";;
