Museumsbesuche in Wien seit 2014;;;;;;;
Einrichtung, Eigentümer/Erhalter;2014;2015,0;2016;2017;2018;2019;2020
;Besuche in 1,000;;;;;;
Bundesmuseen;;;;;;;
Albertina;600,121;648,989;707,082;792,471;1004,8;1001,3;360,073
Kunsthistorisches Museum Wien;1375,4510000000002;1303,673;1324,0819999999999;1323,825;1650,6999999999998;1628,2999999999997;412,5
Hauptgebäude;798,524;767,413;700,901;727,269;901,6;852,3;255,464
Kunsthistorisches Museum Wien Neue Burg (1);72,99;73,95;68,219;57,788;–;–;–
Kaiserliche Schatzkammer Wien;234,657;243,674;229,978;250,194;258;290,5;46,13
Kaiserliche Wagenburg Wien;80,944;77,155;130,62;95,533;89,7;109;16,985
Theseustempel Wien;103,361;102,881;156,32;93,881;143,8;128,6;–
Theatermuseum Wien;41,39;33,744;38,044;38,251;81,6;80,3;23,437
Weltmuseum Wien (zuvor Museum für Völkerkunde) (2);43,585;4,856;–;60,909;176;167,6;70,489
Museum moderner Kunst Stiftung Ludwig Wien;186,17;210,006;208,323;228,263;235,7;289,2;113,277
Naturhistorisches Museum Wien;644,1;652,177;706,48;757,173;777,1;841,8000000000001;302,324
Hauptgebäude;612,203;617,739;669,741;725,241;744,1;804,6;294,006
Pathologisch-anatomische Sammlung im Narrenturm;31,897;34,438;36,739;31,932;33;37,2;8,318
Österreichische Galerie Belvedere;1075,1779999999999;1266,62;1329,4889999999998;1427,225;1592,8;1721,3999999999999;343,064
Oberes Belvedere;642,943;739,468;805,199;948,178;1140,9;1264,1;271,621
Unteres Belvedere;318,536;387,486;348,832;337,968;369,6;362,1;38,26
21er Haus;42,617;41,461;89,186;66,93;82,3;95,2;33,183
Winterpalais (3);71,082;98,205;86,272;74,149;–;–;
Österreichische Nationalbibliothek;268,04900000000004;288,775;355,88;439;519,7;686,5;174,179
Prunksaal;205,44;211,201;271,17;337,566;387,2;487,9;129,996
Esperantomuseum;13,958;13,396;15,937;21,256;19,3;17,8;3,886
Globenmuseum;19,901;19,577;23,378;28,367;26,7;26,9;6
Papyrusmuseum;21,618;18,963;22,923;25,614;32,6;26,7;5,709
Sammlungen;6,413;5,8;6,533;5,759;11;;
Palais Mollard;0,719;0,512;0,531;;;;
Literaturmuseum;;18,405;15,362;17,756;16,7;16,4;3,901
Haus der Geschichte Österreich (4);;;;;24,3;102,5;23,349
Sonstige (5);;0,921;0,046;2,7;1,9;8,3;1,338
Österreichisches Museum für angewandte Kunst/Gegenwartskunst;102,5;150,637;172,192;153,71599999999998;186,8;208,1;80,758
Hauptgebäude;100,492;149,097;170,228;152,516;185,8;205,2;80,758
Expositur Geymüllerschlössel;2,008;1,54;1,964;1,2;1;2,9;–
Technisches Museum Wien;371,144;356,363;363,144;389,1;380,9;428,6;179,258
Hauptgebäude;371,144;356,363;363,144;389,1;380,9;428,6;179,258
Mediathek (6);2,448;2,372;2,489;2,5;2,7;;
Landesmuseen;;;;;;;
Wien Museum;;432,8560000000001;454,768;505,022;520,9;595,1;61,564
Wien Museum Karlsplatz (7);166,059;166,075;166,01;153,6;172,8;85,4;–
Neidhart Fresken;4,514;4,997;4,2;3,8;3,8;5,1;2,539
Römermuseum;27,769;25,8;25,697;29,4;26,6;27,1;9,665
Otto Wagner Pavillon Karlsplatz;7,1;6,878;8,046;7,9;21,1;7,8;0,918
Uhrenmuseum;18,966;18,502;18,364;20,8;19,4;19,6;6,879
Beethoven Pasqualatihaus;11,771;13,258;14,195;16,4;20,2;19,1;4,604
Johann Strauß Wohnung;7,28;7,764;6,962;5,8;5,6;6,8;2,056
Pratermuseum;4,651;4,47;11,881;7,2;6;6,6;2,231
Schubert Sterbewohnung;1,499;1,578;1,502;1,6;1,7;1,7;0,476
Haydnhaus;7,732;7,394;6,739;6,9;7,1;7,8;1,925
Schubert Geburtshaus;8,503;9,199;8,815;9,3;8;7,9;2,195
Hermesvilla;13,286;12,285;12,325;14,3;16,2;17,9;10,578
Otto Wagner Hofpavillon Hietzing;4,004;3,961;1,816;1,5;8,9;1,8;0,597
Beethoven Eroicahaus (8);0,12;0,085;0,144;–;0,1;–;–
Beethoven Museum (9);10,88;10,93;9,584;16,4;20,2;22,3;9,542
Mozartwohnung;138,722;157,122;176,512;202,1;218,8;215;
Virgilkapelle;;4,47;32,23;23,9;21;23,2;7,359
MUSA Startgalerie;;;;;17,6;59,1;
andere Einrichtungen;;;;;;;
Schönbrunn;5549,4;5833,3;5899,9;5778,1;6275,6;6552,6;1850,5
Schloss Schönbrunn;3021;3602,0;3719;3796;3978;4255;640
Tiergarten Schönbrunn;2528,4;2231,3;2180,9;1982,1;2297,6;2297,6;1210,5
Quelle: Statistik Austria – Kulturstatistik und Tiergarten Schönbrunn GmbH,;;;;;;;
"(1) Wegen Bauarbeiten 2018 geschlossen,
(2) Wegen Umbauarbeiten 2016 geschlossen, Neueröffnung am 25, 10, 2017,
(3) Der Standort wird seit November 2017 nicht mehr betrieben,
(4) Eröffnung am 10, 11, 2018,
(5) Standort, der im Zuge der Museumsregistrierung nicht als Museum klassifiziert wurde,
(6) Die Mediathek wird 2019 nicht mehr gesondert ausgewiesen,
(7) Zwecks Renovierung geschlossen,
(8) Beethoven Eroicahaus bis auf Weiteres geschlossen,
(9) Namensänderung auf Beethoven Museum (ehem, Beethoven Wohnung Heiligenstadt),";;;;;;;
