Wiener Festwochen – Vorstellungen und Besuche 2021;;;;;
Veranstaltungen;"Vorstellungen
(1)";Besuche;darunter;;
;;;"Oper, Operette, 
Musical, Show, 
Tanz, Ballett";"Sprechstück, 
Kabarett";"Konzert 
(E-Musik und
U-Musik)"
Wiener Festwochen;139;18055;7511;10433;111
MuseumsQuartier Halle E;13;3949;2092;1857;–
Museumsquartier Halle G;28;3709;333;3265;111
Volkstheater;3;1073;–;1073;–
Jugendstiltheater am Steinhof;22;3572;1514;2058;–
F23;10;814;814;–;–
Schauspielhaus Wien;4;331;–;331;–
brut nordwest;22;1511;414;1097;–
Theater Akzent;4;801;801;–;–
Kasino am Schwarzenbergplatz;4;497;–;497;–
Theater an der Wien;4;1543;1543;–;–
Öffentlicher Raum (2);25;255;–;255;–
Quelle: Wiener Festwochen GesmbH,;;;;;
"(1) Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc,
(2) Öffentlicher Raum: Karl-Marx-Hof, Capistranistiege, Meiselmarkt, Rossauer Lände";;;;;
