Subventionen des Bundes (1) für Denkmalschutz in Wien seit 2000;;;;
Jahr;Insgesamt (2);davon für Subventionen (3) in…;;Restaurierungsvorhaben (4)
;;Profanbauten;Sakralbauten;
;1,000 EUR;;;
2000;1188,9468252872393;325,2848411735209;863,6619841137184;76
2001;1355,7038727353329;273,5475243999041;1082,1563483354287;82
2002;1511,408;218,243;1293,165;70
2003;1414,959;440,161;974,798;120
2004;2181,7690000000002;832,944;1348,825;213
2005;1870,117;745,856;1124,261;97
2006;1514,658;640,965;873,693;70
2007;1735,156;644,55;1090,606;96
2008;1855,7240000000002;1188,093;667,631;84
2009;1765,9;654,307;1111,593;75
2010;1990,87;931,832;1059,038;104
2011;1783,13;646,418;1136,72;80
2012;1588,25;718,97;869,29;93
2013;1543,809;745,248;798,561;81
2014;1932,2;988,2;944;92
2015;1993,721;1174,317;819,404;92
2016;1999,8;977,638;1022,145;74
2017;2487,352;963,572;1523,78;103
2018;2550,354;1152,103;1398,251;82
2019;2089,9570000000003;892,73;1197,227;89
2020;2666,5;1110,6;1555,944;100
2021;3010,8;1623,8;1387;133
Quelle: Bundesministerium für Unterricht, Kunst und Kultur_ ab 2013: Bundeskanzleramt, Sektion VI Kultur (Kulturbericht),;;;;
"(1) Subventionen, die vom Bundesministerium für Unterricht, Kunst und Kultur (überwiegend im Wege des Bundesdenkmalamtes) vergeben wurden,
(2) Ohne Förderungen aus steuerbegünstigten Spenden und sonstigen steuerlichen Begünstigungen, Sponsorgelder, diverse Stipendien und Beträge für die Osthilfe,
(3) Einschließlich Fassadenrestaurierungsaktion sowie Kleindenkmale, Grabungen etc, 
(4) Ohne Objekte der Fassadenrestaurierungsaktion, ohne geförderte Kleindenkmale,";;;;
;;;;
