Büchereien Wien – Neuanmeldungen (1) nach Büchereizweigstellen und BenutzerInnengruppen 2021;;;;;
Zweigstelle (2);Insgesamt;BenutzerInnengruppen;;;
;;"Kinder
 bis 14 Jahre";"Jugendliche
14–18 Jahre";Erwachsene;Institutionen
Neuanmeldungen insgesamt;20621;11116;2072;7101;332
2,, Engerthstraße 197/5;379;282;20;73;4
2,, Zirkusgasse 3;349;189;20;127;13
3,, Erdbergstraße 5-7;612;393;23;183;13
3,, Fasangasse 35-37;280;190;4;75;11
3,, Rabengasse 6;212;148;6;53;5
4,, Favoritenstraße 8;368;215;23;126;4
5,, Pannaschgasse 6;254;181;9;63;1
6,, Gumpendorfer Straße 59-61;216;157;5;50;4
7,, Bücherbus, Urban-Loritz-Platz 2a;3;–;–;3;–
7,, Bücherei der Raritäten, Zieglergasse 49;30;4;4;3;19
7,, Urban-Loritz-Platz 2a;6826;1252;1434;4078;62
9,, Alserbachstraße 11;429;279;11;131;8
10,, Ada-Christen-Gasse 2;280;207;11;58;4
10,, Hasengasse 38;73;63;3;3;4
10,, Laxenburger Straße 90a;412;307;21;78;6
11,, Gottschalkgasse 10;691;500;61;118;12
11,, Rosa-Jochmann-Ring 5/1;323;267;15;36;5
12,, Am Schöpfwerk 29/7;204;161;6;28;9
12,, Meidlinger Hauptstraße 73;947;598;103;235;11
13,, Hofwiesengasse 48;308;231;10;62;5
14,, Hütteldorfer Straße 130d;320;238;13;60;9
14,, Linzer Straße 309;200;151;6;41;2
15,, Hütteldorfer Straße 81a;256;239;–;13;4
15,, Schwendergasse 39-43;216;159;8;46;3
16,, Rosa-Luxemburg-Gasse 4;174;123;7;41;3
16,, Schuhmeierplatz 17;214;168;4;39;3
17,, Hormayrgasse 2;425;295;20;104;6
18,, Weimarer Straße 8;464;358;7;81;18
19,, Billrothstraße 32;468;332;14;109;13
19,, Heiligenstädter Straße 155;209;165;6;33;5
20,, Leystraße 53;184;131;8;42;3
20,, Pappenheimgasse 10-16;302;228;5;66;3
21,, Brünner Straße 138;368;297;13;53;5
21,, Brünner Straße 27;775;553;47;164;11
21,, Kürschnergasse 9;299;228;21;43;7
22,, Bernoullistraße 1;502;317;35;144;6
22,, Erzherzog-Karl-Straße 169;7;4;–;3;–
22,, Schüttaustraße 39;238;200;–;34;4
22,, Siegesplatz 7;643;440;16;176;11
23,, Anton-Baumgartner-Straße 44;323;259;4;52;8
23,, Breitenfurter Straße 358;838;607;49;174;8
Quelle: Stadt Wien Bildung und außerschulische Jugendbetreuung,;;;;;
"(1) Neuanmeldungen wurden anhand neu ausgestellter Büchereikarten im Jahr 2019 erhoben,
(2) 7,, Bücherei der Raritäten, Zieglergasse 49: fungiert nicht als eigene Zweigstelle,";;;;;
