Wohnbevölkerung in Wien nach Religionsbekenntnis und Geburtsland 2001;;;;;;;;;;
Geburtsland;"Wohn-
bevölkerung
insgesamt";Religionsbekenntnis zum Stichtag 15,5,;;;;;;;;
;;"römisch-
katholisch";evangelisch;israelitisch;islamisch;orthodox ***;sonstige;"ohne
Bekenntnis";unbekannt;
Insgesamt;1550123;762089;72492;6988;121149;93294;30810;397596;65705;
AUT Österreich;1183834;675768;57320;2961;36919;23506;16616;323640;47104;
DEU Deutschland;26230;8276;5796;88;395;274;543;9085;1773;
ITA Italien;3907;2357;47;8;15;18;56;1064;342;
Andere EU-Staaten *;11635;2903;1280;121;125;1310;793;4114;989;
BIH Bosnien u, Herzegowina;34373;11380;76;25;11550;6435;134;3885;888;
SCG Serbien u, Montenegro **;73035;5001;961;52;5166;48568;638;8517;4132;
HRV Kroatien;10769;6242;104;3;113;799;155;2874;479;
MKD Mazedonien;6635;46;22;37;4759;1225;96;252;198;
SVN Slowenien;2478;1306;127;;54;87;16;782;106;
POL Polen;24917;14087;418;193;41;49;319;8371;1439;
ROU Rumänien;9297;1663;1181;232;20;2722;1128;1909;442;
CHE Schweiz;2346;877;402;27;30;28;79;737;166;
SVK Slowakische Republik;7530;3494;495;70;41;30;78;2936;386;
CZE Tschechische Republik;21158;11604;625;73;52;49;263;7860;632;
TUR Türkei;47321;158;29;64;43612;914;100;1080;1364;
HUN Ungarn;11927;4961;1402;300;37;36;162;4239;790;
USA;3080;668;554;146;32;22;267;1078;313;
Anderer Staat;69651;11298;1653;2588;18188;7222;9367;15173;4162;
Quelle: Statistik Austria – Volkszählung 2001,;;;;;;;;;;
"* Mitgliedsstand vom 1,1,1995,
** Einschließlich SRB Serbien und MNE Montenegro,
*** Dazu zählt das Bekenntnis zur bulgarisch-orthodoxen, griechisch-orientalischen (orthodoxen), koptisch-orthodoxen, rumänisch-orthodoxen, russisch-orthodoxen, serbisch-orthodoxen sowie zur syrisch-orthodoxen Kirche,";;;;;;;;;;
;;;;;;;;;;
