Friedhöfe nach Erhalter und Bestattungen in Wien 2022;;;;;;;;;;;;
Erhalter;Friedhöfe;;Grabstellen;Bestattungen (1);;;;;;;;
;insgesamt;Fläche;;insgesamt;darunter…;;;;;;;
;;m²;;;Urnen;;;;;;;
Insgesamt;55;5392148;407948;13632;5067;;;;;;;
Städtische Friedhöfe (2);46;4971112;342373;12982;4891;;;;;;;
Konfessionelle Friedhöfe;7;421036;65575;650;176;;;;;;;
Römisch-katholische Friedhöfe;3;23699;3745;133;51;;;;;;;
Evangelische Friedhöfe;2;110381;15582;261;125;;;;;;;
Jüdische Friedhöfe (3);1;252456;44698;51;–;;;;;;;
Islamischer Friedhof;1;34500;1550;205;–;;;;;;;
Quelle: Friedhöfe Wien GmbH und konfessionelle Friedhofsverwaltungen,;;;;;;;;;;;;
"(1) Die Daten beziehen sich auf den Jahresendstand, Die Zahl der Bestattungen umfasst sowohl Bestattungen, die von der B&F Wien - Bestattung und Friedhöfe Wien G,m,b,H,, als auch von einem der im Jahr 2022 bestehenden 25 privaten Bestattungsunternehmen durchgeführt wurden, 
(2) Inklusive Urnenhain mit Feuerhalle Simmering und Urnengrabstellen auf 24 städtischen Friedhöfen, Die Zahl der Grabstellen auf den städtischen Friedhöfen beinhaltet nur alle Grabstellen, die 2022 ein aufrechtes Benützungsrecht hatten (Auswertung per 22, 3, 2023),
(3) Ohne zwei historische Friedhöfe, auf denen keine Bestattungen mehr stattfinden,";;;;;;;;;;;;
;;;;;;;;;;;;
