Friedhöfe und Bestattungen nach Gemeindebezirken 2022;;;;;;
Gemeindebezirk;Friedhöfe;;Bestattungen (1);;;
;Fläche;Grabstellen (2);insgesamt;darunter,,,;;
;m²;;;Urnen;;
Insgesamt;5392148;407948;13632;5067;;
Städtische Friedhöfe;4971112;342373;12982;4891;;
10, Oberlaa (1);34514;4372;225;88;;
11, Feuerhalle Simmering (1);201695;16739;558;558;;
11, Kaiser-Ebersdorf;12060;1061;51;9;;
11, Simmering;56955;6622;278;76;;
11, Zentralfriedhof;2354272;112155;3719;964;;
12, Altmannsdorf;3807;365;15;5;;
12, Hetzendorf;7622;390;8;5;;
12, Meidling (1);130331;6781;280;105;;
12, Südwest (1);239439;17277;646;249;;
13, Hietzing;102774;9025;316;115;;
13, Lainz;7248;397;10;1;;
13, Ober St, Veit (1);35934;3524;124;48;;
14, Baumgarten (1);237594;20785;720;288;;
14, Hadersdorf-Weidlingau;13229;1127;41;19;;
14, Hütteldorf (1);47714;3306;148;59;;
16, Ottakring (1);179472;18008;589;277;;
17, Dornbach (1);44047;3277;105;44;;
17, Hernals (1);169533;13780;517;187;;
18, Gersthof;31714;2205;73;30;;
18, Neustift am Walde (1);152699;9726;384;165;;
18, Pötzleinsdorf (1);5544;460;12;2;;
19, Döbling;49981;5376;214;72;;
19, Grinzing (1);42162;4106;178;69;;
19, Heiligenstadt;20315;1941;76;23;;
19, Sievering (1);36787;3837;148;49;;
21, Groß Jedlersdorf (1);58263;5389;288;103;;
21, Jedlesee (1);56067;6521;276;88;;
21, Leopoldau;4949;634;26;4;;
21, Stammersdorf, Zentral (1);196679;18828;913;395;;
21, Stammersdorf, Ort;7852;749;21;10;;
21, Strebersdorf;26362;1320;48;14;;
22, Aspern (1);73432;7589;379;152;;
22, Breitenlee;11987;1160;74;32;;
22, Eßling (1);17891;1723;90;30;;
22, Hirschstetten;6005;628;26;4;;
22, Kagran (1);56618;6881;342;141;;
22, Stadlau;14788;1776;68;21;;
22, Süßenbrunn;4593;305;9;1;;
23, Atzgersdorf (1);25053;2531;117;44;;
23, Erlaa (1);4651;516;21;8;;
23, Inzersdorf (1);78864;9819;446;172;;
23, Kalksburg;7658;725;34;13;;
23, Liesing (1);32543;2343;91;44;;
23, Mauer (1);48337;4690;217;87;;
23, Rodaun;12145;1088;37;14;;
23, Siebenhirten;8933;516;24;7;;
Konfessionelle Friedhöfe;421036;65575;650;176;;
Römisch-katholische Friedhöfe;23699;3745;133;51;;
14, Penzing - St, Jakob;14316;2304;66;22;;
19, Nußdorf - St Thomas;6571;1053;57;27;;
19, Kahlenbergerdorf - St, Georg;2812;388;10;2;;
Evangelische Friedhöfe;110381;15582;261;125;;
10, Matzleinsdorf;49500;6648;181;91;;
11, Simmering;60881;8934;80;34;;
Jüdische Friedhöfe;252456;44698;51;–;;
11, Zentralfriedhof IV, Tor;252456;44698;51;–;;
Islamische Friedhöfe;34500;1550;205;–;;
23, Islamischer Friedhof Wien;34500;1550;205;–;;
Quelle: Friedhöfe Wien GmbH und konfessionelle Friedhofsverwaltungen,;;;;;;
"(1) Die Daten beziehen sich auf den Jahresendstand, Die Zahl der Bestattungen umfasst sowohl Bestattungen, die von der B&F Wien - Bestattung und Friedhöfe Wien G,m,b,H,, als auch von einem der im Jahr 2022 bestehenden 25 privaten Bestattungsunternehmen durchgeführt wurden, 
(2) Inklusive Urnenhain mit Feuerhalle Simmering und Urnengrabstellen auf 24 städtischen Friedhöfen, Die Zahl der Grabstellen auf den städtischen Friedhöfen beinhaltet nur alle Grabstellen, die 2022 ein aufrechtes Benützungsrecht hatten (Auswertung per 22, 3, 2023), während auf den konfessionellen Friedhöfen alle bestehenden Grabstellen gezählt werden,
(3) Ohne zwei historische Friedhöfe, auf denen keine Bestattungen mehr stattfinden,";;;;;;
