Bundespflegegeldbezug in Wien seit 2012;;;;;;;;;
Jahr;PflegegeldbezieherInnen;;;;;;;;Jahresaufwand
;insgesamt;Stufe 1;Stufe 2;Stufe 3;Stufe 4;Stufe 5;Stufe 6;Stufe 7;Mio, EUR
2012;85025;22839;26046;13831;11513;6415;2916;1465;432,4
2013;85402;23506;25361;13857;11576;6637;2992;1473;435,7
2014;85906;23879;24916;13877;11741;7014;3020;1459;440,5
2015;84120;24704;22782;13814;11513;6888;3003;1416;430
2016;84858;25792;21210;14161;11709;7325;3187;1474;447,4
2017;84873;26413;20174;14450;11543;7417;3353;1523;449,6
2018;85801;27069;19638;14854;11544;7544;3597;1555;456,6
2019;87511;28008;19348;15372;11709;7722;3786;1566;466,3
2020;87407;27904;19250;15670;11598;7642;3881;1462;473,2
2021;87341;27532;19347;16077;11457;7651;3817;1460;480
2022;88467;28290;19781;16497;11193;7590;3708;1408;489,2
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
