Leistungen der Kinder- und Jugendhilfe in Wien seit 2017;;;;;;
Leistungsart;Berichtsjahr;;;;;
;2017;2018,0;2019,0;2020;2021,0;2020,0
Sozialer Dienst;;;;;;
Informationen im sozialen Dienst;21742;22408,0;19666,0;18595;22787,0;21732,0
Beratungen im sozialen Dienst;48032;44646,0;41541,0;31824;32235,0;33937,0
Ausgegebene Säuglings- und Kleinkinderwäschepakete;12154;11658,0;11332,0;7549;8627,0;8352,0
BezieherInnen des Wiener Familienzuschusses;100;53,0;43,0;37;24,0;8,0
Anträge auf Befreiung vom Essensbeitrag;14131;11973,0;9574,0;7763;6094,0;7482,0
Gefährdungsabklärung;;;;;;
Begonnene Abklärungsverfahren;11216;10497,0;10714,0;9793;11015,0;11995,0
Unterstützung der Erziehung;;;;;;
Begonnene Unterstützungen der Erziehung;3063;3109,0;3050,0;2793;3312,0;3069,0
Rechtsvertretung;;;;;;
Begonnene Fälle in der Rechtsvertretung;1135;945,0;966,0;887;1123,0;1173,0
Begonnene Fälle im Asyl- und Fremdenrecht;151;26,0;51,0;84;204,0;277,0
Begonnene Fälle in der Unterhaltssicherung;6490;8674,0;7799,0;7212;9534,0;9141,0
Begonnene Fälle in der Vaterschaftsfeststellung;299;328,0;241,0;146;209,0;131,0
Unterbringung in eigenen Einrichtungen (1);;;;;;
Krisenzentren;134;134,0;140,0;138;140,0;144,0
Sozialpädagogische Einrichtungen;685;688,0;690,0;684;673,0;675,0
"Unterbringung in ""zugekauften"" Einrichtungen (1)";;;;;;
Vertragseinrichtungen;672;668,0;651,0;645;685,0;699,0
Einzelverträge;479;489,0;503,0;528;565,0;587,0
Erstattungen;23;22,0;17,0;14;14,0;6,0
Unterbringung in Familien (1);;;;;;
Bei Pflegeeltern;2032;2083,0;2103,0;2118;2136,0;2100,0
darunter in Verwandtenpflege;475;478,0;485,0;475;463,0;435,0
Quelle: Stadt Wien Wiener Kinder- und Jugendhilfe,;;;;;;
(1) Minderjährige im Tagesdurchschnitt,;;;;;;
;;;;;;
