Frauen und Kinder in Frauenhäusern in Wien seit 2016;;;;;;;
"Betreuung BewohnerInnen 
Aufenthaltsdauer";Berichtsjahr;;;;;;
;2016;2017,0;2018,0;2019,0;2020;2021,0;2022,0
Frauenhäuser;4;4,0;4,0;4,0;4;4,0;5,0
Plätze;175;175,0;175,0;175,0;175;164,0;228,0
Betreute Personen;1260;1264,0;1256,0;1252,0;1179;1289,0;1264,0
Frauen;625;624,0;647,0;641,0;604;649,0;624,0
Kinder;635;640,0;609,0;611,0;575;640,0;640,0
Aufenthaltsdauer der Frauen in den Frauenhäusern (1);;;;;;;
Bis zu einer Woche;161;154,0;164,0;162,0;163;188,0;156,0
Bis zu einem Monat;132;105,0;118,0;134,0;105;130,0;125,0
Bis zu sechs Monaten;203;234,0;227,0;211,0;215;217,0;221,0
Länger als sechs Monate;35;49,0;44,0;51,0;49;38,0;41,0
Ø Aufenthaltsdauer der Frauen (in Tagen);52;55,0;51,0;53,0;49;46,0;52,54
Übergangswohnbereich nach dem Frauenhausaufenthalt;;;;;;;
Anzahl der Wohnplätze;54;54,0;54,0;54,0;54;54,0;54,0
Anzahl der betreuten Frauen;99;107,0;96,0;109,0;105;108,0;99,0
Anzahl der betreuten Kinder;113;117,0;99,0;95,0;94;131,0;115,0
Aufenthaltstage Frauen und Kinder gesamt;42824;41523,0;39701,0;36623,0;38553;39529,0;41502,0
Beratungsstelle Verein Wiener Frauenhäuser;;;;;;;
Gesamtkontakte;16047;16725,0;16628,0;17995,0;15810;20103,0;54,0
Persönliche Kontakte;1575;1717,0;1541,0;1715,0;1141;1293,0;99,0
Telefonische Kontakte;8565;9237,0;8842,0;8920,0;8769;10264,0;115,0
Mail Kontakte;5907;5771,0;6245,0;7360,0;5900;8374,0;41502,0
Beratungen per Zoom;;;;;;172,0;206,0
Quelle: Verein Wiener Frauenhäuser,;;;;;;;
(1) Nicht berücksichtigt sind jene Frauen, die zum Jahreswechsel noch in Frauenhäusern wohnhaft sind,;;;;;;;
;;;;;;;
