Nationaler Verbraucherpreisindex 2015 (bzw, 2020) nach COICOP-Gruppen;;;;;;;
COICOP-Gruppe;Berichtsjahr;;;;;;
;2016;2017,0;2018,0;2019,0;2020;2021;2022,0
;Ø 2015 = 100;;;;;"Ø 2020 
= 100";
Insgesamt;100,9;103,0;105,1;106,7;108,2;102,8;111,6
Nahrungsmittel und alkoholfreie Getränke;100,7;103,1;104,7;105,8;108,2;100,8;111,6
Alkoholische Getränke und Tabak;101,5;104,8;108,8;109,9;111,2;102,4;106,0
Bekleidung und Schuhe;100,7;102,2;102,8;103,6;103,5;100,7;102,5
Wohnung, Wasser, Energie;100,8;102,6;104,9;107,8;110,3;103,6;116,7
Hausrat und laufende Instandhaltung des Hauses;101,4;102,0;104,3;105,4;106,3;101,8;109,6
Gesundheitspflege;102,2;103,6;105,9;107,1;109,2;101,7;104,5
Verkehr;98,2;101,1;104,0;104,3;102,5;106,6;123,9
Nachrichtenübermittlung;98,3;97,0;94,3;91,3;88,6;97,1;96,5
Freizeit und Kultur;101,3;103,7;104,2;105,7;107,5;102,4;106,3
Erziehung und Unterricht;101,2;103,1;105,5;108,3;110,5;101,9;104,7
Restaurants und Hotels;103,3;106,3;109,6;112,8;116,3;103,4;112,6
Verschiedene Waren und Dienstleistungen;101,5;103,0;105,2;107,0;109,3;101,3;104,3
Miniwarenkorb;99,4;102,9;107,2;108,0;107,3;105,7;121,0
Mikrowarenkorb;101,5;105,5;108,2;108,5;111,7;102,6;112,8
Quelle: Statistik Austria – Verbraucherpreisindex,;;;;;;;
;;;;;;;
;;;;;;;
