Gemeindestraßen nach Gemeindebezirken 2021;;;;;
Gemeindebezirk;Insgesamt;Gesamtlänge;Gemeindestraßen;;
;;;Gesamtfläche;"unbefestigte Flächen
 bzw, Grünflächen";"befestigte,
ausgebaute Flächen"
;;;;;
;;;;;
;;m;m²;;
Wien;6930;2792932;41355116;5563680;35791436
1, Innere Stadt;288;54269;1041534;70518;971016
2, Leopoldstadt;267;104131;2107484;364137;1743347
3, Landstraße;274;92878;1556369;105131;1451238
4, Wieden;109;28786;455217;21066;434151
5, Margareten;109;37769;625206;29921;595285
6, Mariahilf;98;27474;420698;19778;400920
7, Neubau;63;25433;384147;18958;365189
8, Josefstadt;71;19591;296505;14837;281668
9, Alsergrund;169;46562;801726;45527;756199
10, Favoriten;479;210369;3502605;468670;3033935
11, Simmering;298;136162;2306857;461389;1845468
12, Meidling;264;101221;1682825;184101;1498724
13, Hietzing;377;148366;1901961;272064;1629897
14, Penzing;469;192514;2266436;260573;2005863
15, Rudolfsheim-Fünfhaus;190;66283;1009649;56723;952926
16, Ottakring;252;100390;1409953;99138;1310815
17, Hernals;237;86314;1073695;96017;977678
18, Währing;174;72847;994412;95792;898620
19, Döbling;367;170174;2219490;270971;1948519
20, Brigittenau;151;62281;1236184;168361;1067823
21, Floridsdorf;710;305183;4377820;706621;3671199
22, Donaustadt;921;456186;6272268;1334932;4937336
23, Liesing;593;247749;3412075;398455;3013620
Quelle: Stadt Wien Straßenverwaltung und Straßenbau,;;;;;
;;;;;
;;;;;
