Kraftfahrzeugbestand, Anhänger und Motorboote in Wien seit 2005;;;;;;;;;;;
Jahr;Kraftfahrzeuge zum Stichtag 31,12,;;;;;;;;;Anhänger;Motorboote
;Insgesamt;Pkw;;Krafträder (1);;Omnibusse;Lkw;"Zugma-
schinen (3)";"sonstige
Kraftfahrzeuge (4)";;
;;insgesamt;"darunter
Autotaxis";insgesamt;"darunter
Motorräder (2)";;;;;;
2005;795480;655806;4226;69428;50470;3535;58506;3411;4794;38491;2988
2006;799748;658081;4052;71196;51547;3546;58742;3417;4766;38371;2986
2007;802209;657426;3890;73336;53265;3604;59619;3487;4737;38241;2975
2008;805539;657192;4050;75819;55262;3607;60628;3546;4747;38712;2944
2009;814624;663926;4306;77958;57228;3726;60796;3573;4645;38659;2999
2010;821999;669279;4421;79566;59042;3716;61185;3601;4652;38812;3085
2011;829790;674526;4604;81076;61142;3670;62307;3654;4557;38826;3127
2012;837810;679492;4500;83325;63139;3646;63075;3713;4559;38824;3185
2013;841669;681413;4609;84652;65568;3661;63686;3757;4500;38939;3196
2014;844911;683258;4643;85529;68458;3650;64087;3729;4658;39199;3196
2015;848493;685570;4506;86339;70130;3644;64516;3756;4668;39455;3176
2016;858248;692847;4190;88001;72322;3735;64984;3794;4887;39769;3175
2017;870133;701657;4276;89259;72666;3804;66426;3961;5026;40246;3175
2018;881596;709288;4419;90421;75295;3863;68729;4009;5286;40379;3177
2019;890959;714960;4521;91323;75247;3909;71236;4088;5443;40750;3173
2020;899709;718819;4140;93341;77348;3999;73553;4172;5825;41133;3170
2021;913263;725100;5565;95494;79046;4091;78161;4203;6214;41542;3209
"(1) Motor-, Leichtmotorräder und Kleinmotorräder Kl, L3e, Motorfahrräder Kl, L1e, Motordreiräder Kl, L5e, vierrädrige Kfz Kl, L7e,
dreirädrige Kleinkrafträder Kl, L2e und vierrädrige Leichtkraftfahrzeuge Kl, L6e,
(2) Motor-, Leichtmotorräder und Kleinmotorräder Kl, L3e, Motordreiräder Kl, L 5e und vierrädrige Kfz Kl, L7e,
(3) Sattelzugfahrzeuge, Motor- und Transportkarren sowie land- und forstwirtschaftliche Zugmaschinen,
(4) Selbstfahrende Arbeitsmaschinen, Erntemaschinen, sonstige Kraftfahrzeuge (inkl, Wohnmobile),";;;;;;;;;;;
;;;;;;;;;;;
