Personalaufwand der Stadt Wien seit 2012;;;
Jahr;Insgesamt;Personalaufwand;
;;Pensionen;Aktivbezüge
;;;
;;;
;Mio, EUR;;
2012;3808,64587558;1268,7293414;2539,91653418
2013;3888,86968504;1297,48411577;2591,38770119
2014;3979,55966695;1340,9893585399998;2638,5703084100005
2015;4070,49210752;1362,23671053;2708,25539699
2016;4194,02496017;1399,81796085;2794,2069993200003
2017;4241,57112295;1440,86131443;2800,70980852
2018;4335,25219185;1475,05896693;2860,19322492
2019;4486,7;1527,8;2958,90344929
2020;4623,850446570001;1576,04259321;3047,8078533600005
2021;4781,372897740001;1624,99967676;3156,37322098
2022;;;
Quelle: Rechnungsabschluss der Stadt Wien,;;;
;;;
;;;
