Personalaufwand der Stadt Wien nach Rechtsträger 2022;;;;;;
Jahr;Insgesamt;Personalaufwand;;;;
;;Pensionen;Aktivbezüge;;;
;;;insgesamt;Auszahlungen für Personalaufwand Bezüge, Nebengebühren und Mehrleistungsvergütungen;Auszahlungen für gesetzliche und freiwillige Sozialaufwendungen;Auszahlungen aus sonstigem Personalaufwand
;;;;;;
;Mio, EUR;;;;;
Insgesamt;;;;;;
Magistrat;;;;;;
Wiener Stadtwerke;;;;;;
LandeslehrerInnen;;;;;;
Sonstige;;;;;;
Quelle: Rechnungsabschluss der Stadt Wien,;;;;;;
;;;;;;
;;;;;;
