Einnahmeerfolg und Abgabenertragsanteile Wiens als Land und Gemeinde nach Abgabenart 2022;;;;;
Abgabenart;Einnahmeerfolg (1);;Ertragsanteile Wiens;;
;in Wien;in Österreich;insgesamt;als Land;als Gemeinde
;;;;;
;Mio, EUR;;;;
Insgesamt;;;;;
Einkommen- und Vermögensteuer;;;;;
Veranlagte Einkommensteuer;;;;;
Lohnsteuer;;;;;
Kapitalertragsteuer;;;;;
Kapitalertragsteuer auf Zinsen;;;;;
Körperschaftsteuer;;;;;
Übrige Steuern;;;;;
Sonstige Steuern;;;;;
Umsatzsteuer;;;;;
Mineralölsteuer;;;;;
Grunderwerbsteuer;;;;;
Motorbezogene Versicherungssteuer;;;;;
Tabaksteuer;;;;;
Übrige Steuern;;;;;
Kunstförderungsbeitrag;;;;;
Quelle: Bundesrechenzentrum,;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;
(1) Daten seit dem Jahr 2017 nicht verfügbar,;;;;;
