Bezirksvertretungswahlen – Verteilung der Mandate nach Gemeindebezirken 2020;;;;;;;;
Gemeindebezirk;Insgesamt;Bezirksvertretungswahlen;;;;;;
;;SPÖ;GRÜNE;ÖVP;FPÖ;NEOS;HC (1);sonstige Parteien (2)
Wien;1144;437;246;245;78;75;16;47
1, Innere Stadt;40;10;7;17;2;4;–;–
2, Leopoldstadt;60;23;19;8;3;4;1;2
3, Landstraße;56;22;13;10;2;5;–;4
4, Wieden;40;15;12;8;1;3;–;1
5, Margareten;40;15;12;6;2;3;–;2
6, Mariahilf;40;16;13;6;1;3;–;1
7, Neubau;40;9;19;6;1;3;–;2
8, Josefstadt;40;8;14;13;1;3;–;1
9, Alsergrund;40;13;13;8;1;4;–;1
10, Favoriten;60;30;5;11;6;2;2;4
11, Simmering;60;26;4;7;18;2;1;2
12, Meidling;58;26;9;10;4;3;2;4
13, Hietzing;40;10;6;19;1;4;–;–
14, Penzing;56;22;10;14;3;4;1;2
15, Rudolfsheim-Fünfhaus;50;20;12;7;3;2;1;5
16, Ottakring;60;25;13;11;3;3;1;4
17, Hernals;40;15;11;8;2;3;–;1
18, Währing;40;7;17;12;1;3;–;–
19, Döbling;48;14;8;19;2;5;–;–
20, Brigittenau;56;27;10;8;4;2;1;4
21, Floridsdorf;60;29;5;11;6;3;2;4
22, Donaustadt;60;29;7;12;6;3;2;1
23, Liesing;60;26;7;14;5;4;2;2
Quelle: Stadtwahlbehörde,;;;;;;;;
"(1) Team HC Strache – Allianz für Österreich,
(2) In den Bezirken angetretene Parteien siehe Fußnote Tabelle 21,2,2,";;;;;;;;
;;;;;;;;
;;;;;;;;
−;;;;;;;;
