Buttoregionalprodukt in Wien seit 2000;;;;;;
Jahr;Insgesamt;Bruttoregionalprodukt;;;;
;;"Anteil Wiens am 
Bruttoinlandsprodukt
Österreichs";pro Beschäftigungsverhältnis in EUR;;pro EinwohnerIn in EUR;
;Mio, EUR;%;Wien;Österreich;Wien;Österreich
2000;57660;26,993623774613074;64693,09856582603;54101,79347954474;37200;26700
2001;59843;27,13660582700374;66774,44739187721;55449,338875288464;38300;27400
2002;61965;27,329261031600765;69123,82173110836;56986,437881255224;39100;28100
2003;62666;27,02728347034012;70111,8190988417;57982,3090713998;39100;28600
2004;64529;26,62658656147358;72129,44557831151;60359,34822952242;39800;29700
2005;67364;26,51343107350192;74666,68889390973;62471,822675414995;41000;30900
2006;71019;26,517041041878247;76404,20359427131;64768,22332984177;42900;32400
2007;73965;26,046031734852697;78151,28122773154;67411,81931647894;44400;34200
2008;76694;26,107529224338073;79705,5937635959;68245,8729102765;45800;35300
2009;76313;26,49352182305481;79366,63856165724;67382,1869035153;45300;34500
2010;78130;26,40445830812749;80335,044330282;68728,55953220179;46100;35400
2011;80747;26,03658477601256;81766,19104147467;70821,09307910653;47300;37000
2012;81982;25,72767242109756;81541,29214750454;72017,39327185515;47500;37800
2013;83118;25,66083171251273;82529,96738001997;72802,28187448188;47400;38200
2014;84750;25,439296884849284;83219,96270449502;74134,13440134529;47600;39000
2015;87285;25,353720491824706;84823,41268850189;76075,07814191897;48100;39900
2016;91943;25,710554573723183;87533,06493147786;77886,35908284792;49600;40900
2017;92881;25,146333407334808;87033,98095857934;79105,51253553871;49500;42000
2018;97184;25,214828344887707;88977,939965147;81067,47002064913;51400;43600
2019;100107;25,182947230195285;90515,47910486769;82560,82507864061;52600;44800
2020;96594;25,46497557477704;88552,16359941178;80274,52273756106;50400;42500
Quelle: Statistik Austria – Regionale Gesamtrechnungen, ESVG 2010,;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;
;;;;;;
;;;;;;
;;;;;;
interne Anmerkung: mit den neuen Jahreswerten werden immer die letzten Jahre revidiert, Daher alle Jahre austauschen,;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
