Unselbstständig Beschäftigte in Unternehmen in Wien nach Geschlecht und Wirtschaftstätigkeiten 2020;;;;;;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Insgesamt;Unselbstständig Beschäftigte;;;;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;;;;
;;Männer;Frauen;insgesamt;Männer;Frauen;;Anmerkung Max: Unterbranchen in C an jene der Tabellen B0005 & B0006 angepasst;
Insgesamt;1131653;606268;525385;266827;148143;118684;;;jetzt ist es einheitlich (dafür fehlen 2-3 Unterbranchen aus 2019)
Land- und Forstwirtschaft;1238;683;555;850;501;349;;;
Bergbau;289;215;74;30;8;22;;;
Herstellung von Waren;64624;46966;17658;13095;8890;4205;;;
Nahrungs- und Futtermittel;8872;4829;4043;3515;2043;1472;;;
Elektrische Ausrüstungen;8373;6474;1899;945;648;297;;;
Reparatur/Installation v, Maschinen;9528;8266;1262;912;756;156;;;
Pharmazeutische Erzeugnisse;5639;3086;2553;1058;548;510;;;
Maschinenbau;5359;4387;972;1070;842;228;;;
Metallerzeugnisse;2929;2226;703;873;713;160;;;
Sonstige Waren;2982;1640;1342;656;330;326;;;
Kraftwagen und -teile;2197;2010;187;332;295;37;;;
Datenverarbeitungsgeräte;2137;1651;486;324;232;92;;;
Chemische Erzeugnisse;2171;1525;646;543;370;173;;;
Rest;14437;10872;3565;2867;2113;754;;;
Energieversorgung;6262;4728;1534;364;236;128;;;
Wasserversorgung und Abfallentsorgung;1178;935;243;360;329;31;;;
Abfallbehandlung;956;747;209;302;277;25;;;
Beseitigung v, Umweltverschmutzungen;1;1;–;–;–;–;;;
Rest;221;187;34;58;52;6;;;
Bau;61348;54316;7032;27587;25781;1806;;;
Sonst, Bautätigkeiten;37606;32960;4646;17387;16125;1262;;;
Hochbau;19806;17649;2157;8956;8443;513;;;
Tiefbau;3936;3707;229;1244;1213;31;;;
Handel;129562;59148;70414;33136;15812;17324;;;
Einzelhandel;65104;18939;46165;18190;6530;11660;;;
Großhandel;53766;31603;22163;12359;7092;5267;;;
Kfz-Handel und -reparatur;10692;8606;2086;2587;2190;397;;;
Verkehr;86698;70377;16321;17696;15046;2650;;;
Landverkehr;40524;35345;5179;10878;9834;1044;;;
Dienstleistungen für den Verkehr;24956;21139;3817;2723;2166;557;;;
Post- und Kurierdienste;20827;13634;7193;3955;2944;1011;;;
Luftfahrt;262;158;104;90;57;33;;;
Schifffahrt;129;101;28;50;45;5;;;
Beherbergung und Gastronomie;58024;31609;26415;31944;17674;14270;;;
Information und Kommunikation;63194;41322;21872;12396;8108;4288;;;
IT-Dienstleistungen;26919;19408;7511;6523;4380;2143;;;
Informationsdienstleistungen;11864;7933;3931;2926;2048;878;;;
Telekommunikation;9374;6358;3016;1047;734;313;;;
Rest;15037;7623;7414;1900;946;954;;;
Fiz- und Versicherungsleistungen;57255;29914;27341;7526;3894;3632;;;
Grundstücks- und Wohnungswesen;17373;7771;9602;3241;1621;1620;;;
Freiberufliche/techn, Dienstleistungen;90266;41610;48656;19560;9197;10363;;;
Unternehmensführung, -beratung;25447;13038;12409;5908;3029;2879;;;
Rechtsberatung und Wirtschaftsprüfung;21396;6122;15274;3261;801;2460;;;
Architektur- und Ingenieurbüros;17773;10571;7202;4072;2235;1837;;;
Werbung und Marktforschung;12187;5135;7052;2339;1104;1235;;;
Rest;13463;6744;6719;3980;2028;1952;;;
Sonst, wirtschaftl, Dienstleistungen;96225;53817;42408;40907;21840;19067;;;
Öffentliche Verwaltung;174591;84116;90475;7378;2182;5196;;;
Erziehung und Unterricht;74454;30241;44213;17405;6999;10406;;;
Gesundheits- und Sozialwesen;96780;25449;71331;20494;4598;15896;;;
Kunst, Unterhaltung und Erholung;20628;10766;9862;4586;2155;2431;;;
Sonst, Dienstleistungen;31664;12285;19379;8272;3272;5000;;;
Quelle: Statistik Austria – Arbeitsstättenzählung 2020,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
