Arbeitsstätten, Beschäftigte und weitere Kennzahlen in Wien nach Wirtschaftstätigkeiten 2020;;;;
"Abschnitt
(ÖNACE 2008)";Arbeitsstätten;Beschäftigte (1);Bruttolöhne und -gehälter;"Bruttoinvestitionen
in Sachanlagen"
;;;Mio, EUR;
Insgesamt;103014;674770;26596,601;11235,525
Land- und Forstwirtschaft;;;;
Bergbau;15;;;
Herstellung von Waren;3635;56445;3023,789;499,174
Energieversorgung;382;6011;435,063;604,466
Wasserversorgung und Abfallentsorgung;137;3638;196,09;91,278
Bau;7440;58432;2255,948;134,661
Handel;22347;140997;5084,577;828,283
Verkehr;5031;44095;1627,55;793,786
Beherbergung und Gastronomie;9104;61193;1052,823;137,259
Information und Kommunikation;9806;63896;3502,979;728,634
Fiz- und Versicherungsleistungen;2306;40935;2789,961;364,135
Grundstücks- und Wohnungswesen;9056;20449;672,366;3173,772
Freiberufliche Dienstleistungen;26955;101686;3874,428;255,266
Sonst, wirtschaftl, Dienstleistungen;6213;75743;2058,799;3624,095
Erziehung und Unterricht;3;;;
Gesundheits- und Sozialwesen;;;;
Kunst, Unterhaltung und Erholung;7;;;
Sonstige Dienstleistungen;577;1250;22,228;0,716
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2020,;;;;
(1) Beschäftigte im Jahresdurchschnitt,;;;;
;;;;
