Rebflächen in Wien nach Katastralgemeinden 2020;;;
"Gemeindebezirk
Katastralgemeinde";Gewidmete Parzellen in Wien;Fläche;
;;m²;%
Insgesamt;3264;7774960;100
10, Favoriten;97;273504;3,5177544321771426
Oberlaa-Stadt;97;273504;3,5177544321771426
13, Hietzing;1;16838;0,2165670305699322
Schönbrunn;1;16838;0,2165670305699322
16, Ottakring;9;70062;0,9011236070667887
Ottakring;9;70062;0,9011236070667887
17, Hernals;11;96395;1,2398134524164754
Dornbach;11;96395;1,2398134524164754
18, Währing;8;16779;0,21580818422216966
Pötzleinsdorf;8;16779;0,21580818422216966
19, Döbling;1426;3722793;47,88182833094961
Grinzing;303;888401;11,426438206756048
Heiligenstadt;181;427250;5,495205120026341
Josefsdorf;16;36618;0,4709734841079568
Kahlenbergerdorf;66;260056;3,344788912097297
Neustift am Walde;234;378369;4,8665073518063116
Nussdorf;405;1114781;14,33809305771348
Obersievering;154;379204;4,877246956897528
Salmannsdorf;16;32455;0,4174298002819307
Unterdöbling;2;3058;0,039331392058608666
Untersievering;49;202601;2,6058140492041115
21, Floridsdorf;1468;3033626;39,01789848436519
Stammersdorf;1461;3018008;38,81702285285069
Strebersdorf;7;15618;0,200875631514503
22, Donaustadt;2;27147;0,3491593525883091
Breitenlee;1;25373;0,3263425149454145
Süßenbrunn;1;1774;0,022816837642894626
23, Liesing;242;517816;6,660047125644376
Kalksburg;32;61173;0,786795044604731
Liesing;70;156297;2,0102611460380504
Mauer;137;293077;3,7694984925967465
Rodaun;3;7269;0,09349244240484839
Quelle: Stadt Wien Wasserrecht,;;;
"Anmerkung: Der Unterschied des Flächenausmaßes der Rebflächen nach Katastralgemeinden von den Rebflächen nach Weinsorten liegt darin, dass bei den Flächegaben nach Katastralgemeinden auch Flächen von gepflanzten aber noch nicht im Ertrag stehenden („Rodung abgelaufen“), sowie von gerodeten und noch in Besitz des Eigentümers stehenden Rebflächen und von verwilderten Rebflächen mit einbezogen wurden,
Rundungsdifferenzen nicht ausgeglichen,";;;
