Unselbstständig Beschäftigte in Arbeitsstätten der Sachgütererzeugung in Wien nach Geschlecht und Staatsangehörigkeit 2020;;;;;;
Abteilung (ÖNACE 2008);Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
Insgesamt;54602;38566;16036;12258;8374;3884
Nahrungs- und Futtermittel;8175;4857;3318;3452;2180;1272
Getränkeherstellung;785;448;337;134;82;52
Tabakverarbeitung;;;;;;
Textilien;267;120;147;99;48;51
Bekleidung;273;70;203;81;34;47
Leder/-waren und Schuhe;130;74;56;55;32;23
Holzwaren_ Korbwaren;562;459;103;196;174;22
Papier/Pappe und Waren daraus;1526;1067;459;429;318;111
Druckerzeugnisse;1409;975;434;185;117;68
Kokerei und Mineralölverarbeitung;709;496;213;173;102;71
Chemische Erzeugnisse;1833;1139;694;553;362;191
Pharmazeutische Erzeugnisse;5352;3002;2350;956;517;439
Gummi- und Kunststoffwaren;1028;728;300;336;233;103
Glas/-waren, Keramik u, Ä,;911;639;272;295;249;46
Metallerzeugung und -bearbeitung;244;179;65;51;46;5
Metallerzeugnisse;3368;2561;807;958;786;172
Datenverarbeitungsgeräte;2107;1622;485;338;245;93
Elektrische Ausrüstungen;5195;3793;1402;704;447;257
Maschinenbau;4563;3689;874;834;643;191
Kraftwagen und -teile;2218;2031;187;333;296;37
Sonstiger Fahrzeugbau;3361;2787;574;406;317;89
Möbel;690;465;225;176;131;45
Sonstige Waren;2991;1645;1346;658;330;328
Reparatur/Installation v, Maschinen;6905;5720;1185;856;685;171
Quelle: Statistik Austria – Arbeitsstättenzählung 2020,;;;;;;
;;;;;;
;;;;;;
