Hotels und ähnliche Beherbergungsbetriebe in Wien nach Betriebskategorien seit 2000 (1);;;;;
Jahr;Insgesamt;Hotels und ähnliche Beherbergungsbetriebe;;;
;;5-Stern;4-Stern;3-Stern;2-/1-Stern
2000;349;13;120;125;91
2001;353;11;127;125;90
2002;353;11;130;124;88
2003;359;11;136;126;86
2004;367;14;140;127;86
2005;366;13;143;128;82
2006;371;13;143;134;81
2007;373;13;145;136;79
2008;386;14;157;140;75
2009;400;15;157;150;78
2010;396;15;155;151;75
2011;409;16;159;158;76
2012;420;16;161;163;80
2013;428;19;168;160;81
2014;432;21;168;161;82
2015;437;21;165;169;82
2016;439;21;164;172;82
2017;434;21;165;174;74
2018;426;21;164;170;71
2019;422;22;165;165;70
2020;411;22;170;157;62
Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;
(1) Einschließlich Saisonhotels (Studentenheime), exklusive Jugendherbergen, Ferienwohnungen und Privatquartiere,;;;;;
;;;;;
