Gästezimmer in Wien nach Betriebskategorien seit 2000 (1);;;;;
Jahr;Insgesamt;Gästezimmer in Hotels und ähnlichen Beherbergungsbetrieben;;;
;;5-Stern;4-Stern;3-Stern;2-/1-Stern
2000;21308;3060;10190;5190;2868
2001;21549;2381;10797;5538;2833
2002;21644;2388;11165;5389;2702
2003;21417;2330;10911;5359;2817
2004;22441;3331;10773;5448;2889
2005;22815;3153;11152;5828;2682
2006;23160;3154;11168;6210;2628
2007;23478;3154;11443;6259;2622
2008;25609;3229;13137;6640;2603
2009;26651;3444;13084;7436;2687
2010;26775;3444;13046;7678;2607
2011;27546;3626;13042;7963;2933
2012;29048;3623;14106;7884;3435
2013;31070;3846;15424;8073;3727
2014;31910;4060;15817;8176;3857
2015;33335;4055;15576;8915;4789
2016;33563;3939;15793;9026;4805
2017;33610;3945;16008;10769;2888
2018;34107;3944;16224;11180;2759
2019;34250;4249;16339;10952;2710
2020;34495;4332;17077;10441;2645
2021;31835;4332;14868;9832;2803
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;
(1) Einschließlich Saisonhotels (Studentenheime), exklusive Jugendherbergen, Ferienwohnungen und Privatquartiere,;;;;;
;;;;;
