Gästeankünfte und -übernachtungen in Wien nach Betriebskategorien und Monaten 2021;;;;;;;;;;;
Monat;Ankünfte;Gästeübernachtungen;;;;;;;;;
;;Insgesamt;;davon,,,;;;;;;;
;;abs,;"Veränderung
in %";Hotels und Pensionen;;;;Jugend-herbergen;FeWo Gewerblich;FeWo/Qu Privat;Camping
;;;;5-Stern;4-Stern;3-Stern;2-/1-Stern;;;;
2021;2076729;4996746;8,855117953794462;491874;1980223;1312222;365027;173614;397550;242262;33974
Jänner;18856;58701;-94,82198334947577;4444;21028;18386;1780;1088;8728;3247;–
Februar;24536;69692;-93,19225253879006;5439;22811;21726;3336;1588;9794;4998;–
März;32311;89045;-76,40679564832627;7353;31729;28452;5127;1496;10702;4186;–
April;27075;82333;183,89710699631047;7315;25924;20805;6795;1143;16231;4120;–
Mai;66385;153262;268,9415276473845;20224;57317;42063;6545;1090;18202;6092;1729
Juni;157515;360939;91,34456855375254;38028;138646;97503;21859;6915;34915;21595;1478
Juli;263574;601662;30,35655864682343;54691;239423;149442;49799;25470;37817;36883;8137
August;386006;922604;71,50430896666595;93658;370270;217548;81840;32226;66292;47683;13087
September;365985;859279;125,15079419147588;83423;343738;221661;68235;35806;57574;41611;7231
Oktober;398166;951849;285,91706332152154;86882;394014;257656;68955;37176;67971;36883;2312
November;220759;548024;494,8248165675335;56501;218392;155153;33295;21649;43436;19598;–
Dezember;115561;299356;291,91956220051844;33916;116931;81827;17461;7967;25888;15366;–
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
