Nettoauslastung der Gästebetten in Wien nach Betriebskategorien und Monaten 2021;;;;;
Monat;Nettoauslastung in Hotels und ähnlichen Beherbergungsbetrieben in %;;;;
;insgesamt;5-Stern;4-Stern;3-Stern;2-/1-Stern
2021;23,974175454490563;19,02415139058852;25,228152109645002;24,120557384715152;25,481494822403626
Jänner;4,7;2,3;5;5,6;4,4
Februar;5,8;3,1;5,8;7,2;6,4
März;6,9;4,1;6,7;8,4;8,8
April;5,8;4,2;5,5;6,2;10,1
Mai;10,5;9,6;10,9;10,7;8,5
Juni;19,7;17,2;19,5;21,1;20,4
Juli;29,6;23,9;31,4;29,8;29,2
August;43,3;38,8;46,7;40,7;57,2
September;40,2;34,1;42,4;40,7;37
Oktober;43,2;36,2;46,6;43,3;36,8
November;26;24,1;26;27,8;22,1
Dezember;14,4;14,1;14,6;15;17,7
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;
;;;;;
;;;;;
