Versicherte Beschäftigungsverhältnisse in Wien nach Geschlecht 2022;;;
Beschäftigungsverhältnisse;Insgesamt;Geschlecht;
;;Männer;Frauen
Versicherte Beschäftigungsverhältnisse insgesamt;1101776;573447;528329
"Unselbstständige Beschäftigungsverhältnisse (inklusive geringfügige 
Beschäftigungsverhältnisse und geringfügig freie Dienstverträge)";985962;503304;482658
Unselbstständige Beschäftigungsverhältnisse;897849;463697;434152
davon freie Dienstverträge;7027;3715;3312
Aktive unselbstständige Beschäftigungsverhältnisse;887502;462534;424968
Inaktive unselbstständige Beschäftigungsverhältnisse;10347;1163;9184
Karenzgeld-/KinderbetreuungsgeldbezieherInnen;9827;645;9182
PräsenzdienerInnen;520;518;2
"Geringfügige Beschäftigungsverhältnisse 
und geringfügig freie Dienstverträge";88113;39607;48506
Geringfügige Beschäftigungsverhältnisse;79622;35219;44403
Geringfügig freie Dienstverträge;8491;4388;4103
Selbstständige Beschäftigungsverhältnisse insgesamt;115814;70143;45671
Erwerbstätige nach Gewerblichem Sozialversicherungsgesetz;105606;64277;41329
Freie Berufe nach Freiberuflich Selbstständigen-Sozialversicherungsgesetz;8773;4948;3825
Erwerbstätige nach Bauern-Sozialversicherungsgesetz;1435;918;517
Quelle: Dachverband der Sozialversicherungsträger, Sozialversicherungsanstalt der Bauern, Sozialversicherungsanstalt der Gewerblichen Wirtschaft.;;;
;;;
;;;
