Unselbstständige Beschäftigung in Wien nach Monaten, sozialrechtlicher Stellung und Geschlecht 2022;;;;;;;;;;;;
Monat;Insgesamt;Geschlecht;;Beschäftigungsverhältnisse;;;;;;;;
;;;;Arbeiterinnen und Arbeiter;;;Angestellte;;;Beamtinnen und Beamte;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Jänner;876660;450374;426286;216411;144327;72084;623397;285290;338107;36852;20757;16095
Februar;883200;454888;428312;220090;147417;72673;626391;286788;339603;36719;20683;16036
März;891280;460264;431016;225023;151252;73771;629904;288517;341387;36353;20495;15858
April;893860;462155;431705;227263;152721;74542;630459;289073;341386;36138;20361;15777
Mai;899603;465861;433742;231384;155631;75753;632291;289988;342303;35928;20242;15686
Juni;901000;466677;434323;233204;156423;76781;632045;290108;341937;35751;20146;15605
Juli;899321;465619;433702;230798;154550;76248;633080;291093;341987;35443;19976;15467
August;900081;466736;433345;231283;155385;75898;633599;291530;342069;35199;19821;15378
September;907884;470872;437012;234200;157435;76765;638748;293708;345040;34936;19729;15207
Oktober;911792;472055;439737;234036;157355;76681;643135;295156;347979;34621;19544;15077
November;913936;472163;441773;233084;156361;76723;646453;296398;350055;34399;19404;14995
Dezember;895521;456685;438836;217265;142220;75045;644040;295166;348874;34216;19299;14917
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
