Unselbstständige Beschäftigung in Wien nach Altersgruppen und Geschlecht 2022;;;;;;
Altersgruppen;Insgesamt;;Unselbstständige Beschäftigungsverhältnisse;;;
;;;Geschlecht;;;
;;;Männer;;Frauen;
;absolut;%;absolut;%;absolut;%
Insgesamt;897849;100;463697;100;434152;100
bis 19;20746;2,310633525236426;11980;2,583583676409379;8766;2,0191085149901418
20–24;66823;7,442565509345113;34046;7,342294644994468;32777;7,54966002690302
25–29;110728;12,33258599163111;56063;12,090438368158516;54665;12,591212294311669
30–34;119614;13,322284704889128;63693;13,735909440863322;55921;12,880511894451713
35–39;113383;12,628292730737575;59823;12,901312710670975;53560;12,336693139729864
40–44;109448;12,190023043963963;55796;12,03285766351734;53652;12,357883874771968
45–49;103646;11,543811932741473;50916;10,980446282809678;52730;12,145515856197829
50–54;110777;12,338043479471493;53455;11,528002122075407;57322;13,203209935690726
55–59;101133;11,263920770641835;49595;10,695561972581233;51538;11,870957636956641
60+;41551;4,627838311341885;28330;6,109593117919676;13221;3,045246825996425
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
;;;;;;
;;;;;;
