Unselbstständige Beschäftigung in Wien nach Wirtschaftstätigkeiten und Geschlecht 2022;;;;
"Abschnitt
ausgewählte Abteilung (ÖNACE 2008)";Unselbstständige Beschäftigungsverhältnisse;;;
;insgesamt;Anteil in % (1);Geschlecht;
;;;Männer;Frauen
Unselbstständige Beschäftigung insgesamt;897849;100;463697;434152
Land- und Forstwirtschaft_ Fischerei;941;0,1048060419959258;579;362
Bergbau und Gewinnung von Steinen und Erden;148;0,01648384082401384;91;57
Herstellung von Waren;52130;5,80609879835028;36616;15514
Herstellung von Nahrungs- und Futtermitteln;7288;0,8117177832798165;4273;3015
Herstellung von pharmazeutischen Erzeugnissen;5484;0,6107931289114317;3095;2389
Herstellung von Metallerzeugnissen;2987;0,3326840036576306;2295;692
Herstellung von elektrischen Ausrüstungen;5904;0,6575715961147142;4342;1562
Reparatur und Installation von Maschinen und Ausrüstungen;5570;0,6203715769578181;4540;1030
Rest;24897;2,7729607094288684;18071;6826
Energieversorgung;6450;0,7183836034789814;4768;1682
Wasserversorgung_ Abwasser- und Abfallentsorgung;1323;0,1473521716903399;1034;289
Bau;52352;5,8308245595863;46388;5964
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;113976;12,694339471336495;55827;58149
Handel mit Kraftfahrzeugen_ Instandhaltung und Reparatur von Kraftfahrzeugen;9512;1,059420904851484;7707;1805
Großhandel (ohne Handel mit Kraftfahrzeugen);43493;4,844133033505634;25694;17799
Einzelhandel (ohne Handel mit Kraftfahrzeugen);60971;6,790785532979377;22426;38545
Verkehr und Lagerei;38504;4,288471669512357;30740;7764
Beherbergung und Gastronomie;47662;5,3084650091496455;26916;20746
Beherbergung;10457;1,1646724560588695;5165;5292
Gastronomie;37205;4,143792553090775;21751;15454
Information und Kommunikation;62348;6,944152079024423;41139;21209
Telekommunikation;7051;0,7853213625008215;4688;2363
Erbringung von Dienstleistungen der Informationstechnologie;31079;3,461495195740041;22567;8512
Informationsdienstleistungen;10970;1,2218090124285932;7154;3816
Rest;13248;1,4755265083549685;6730;6518
Erbringung von Fiz- und Versicherungsdienstleistungen;42319;4,713376079942173;21395;20924
Erbringung von Fizdienstleistungen;25775;2,870749981344302;12975;12800
Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung);10655;1,1867251620261314;5265;5390
Rest;5889;0,6559009365717398;3155;2734
Grundstücks- und Wohnungswesen;18872;2,1019124596674943;7977;10895
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;80712;8,98948486883652;37581;43131
Rechts- und Steuerberatung, Wirtschaftsprüfung;18366;2,0455555444178253;5325;13041
Verwaltung und Führung von Unternehmen und Betrieben_ Unternehmensberatung;24606;2,7405499142951655;12366;12240
Architektur- u. Ingenieurbüros_ technische, physikalische u. chemische Untersuchung;16570;1,8455219084723602;9971;6599
Forschung und Entwicklung;8974;0,9994999159101363;4736;4238
Werbung und Marktforschung;9067;1,0098580050765775;3854;5213
Rest;3129;0,3484995806644547;1329;1800
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;69019;7,687150066436561;37676;31343
Vermittlung und Überlassung von Arbeitskräften;20599;2,294261061715277;14194;6405
Gebäudebetreuung_ Garten- und Landschaftsbau;28355;3,1581034227358944;12349;16006
Erbringung von wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g. (2);9935;1,1065335039633613;4645;5290
Rest;10130;1,1282520780220282;6488;3642
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;139658;15,554731363514355;55696;83962
Erziehung und Unterricht;49337;5,49502199144845;19152;30185
Gesundheits- und Sozialwesen;70147;7,812783664068235;20508;49639
Kunst, Unterhaltung und Erholung;14910;1,6606355857165294;8036;6874
Erbringung von sonstigen Dienstleistungen;24214;2,6968900115721017;9403;14811
"Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen
(ohne Sozialwesen und Sport)";15835;1,7636595908666157;6324;9511
Rest;8379;0,9332304207054861;3079;5300
Private Haushalte;812;0,0904383699263462;208;604
Exterritoriale Organisationen und Körperschaften;857;0,09545034855526932;379;478
Wirtschaftsklasse unbekannt;811;0,09032699262348123;425;386
PräsenzdienerInnen;520;0,05791619748977835;518;2
Kinderbetreuungs- und Karenzgeld-BezieherInnen;9827;1,0945047552539457;645;9182
Quelle: Dachverband der Sozialversicherungsträger.;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;
"(1) Anteil der Beschäftigungsverhältnisse in den einzelnen Abschnitten und Abteilungen. 
(2) a. n. g.: anderwertig nicht gent.";;;;
