Arbeitslose Personen (inkl. SchulungsteilnehmerInnen)  nach Vormerkdauer und Geschlecht seit 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vormerkdauer;Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Insgesamt;66487;39601;26886;73052;44431;28621;74179,1666666667;44233,5;29945,6666666667;79152,3333333333;46466,25;32686,0833333333;83016;49022;33994;90229,5833333333;53431,8333333333;36797,75;104403,5;61695,25;42708,25;124685;74241;50444;128375;75520;52855;155127;89521;65606;147692;84086;63606;140715;78312;62403;173923;97146;76778;158402,0833333333;87067,74999999997;71334,33333333336;138341;77481;60859
unter 3 Monate;40490;23825;16665;45336;27115;18221;46785,75;27528;19257,25;48321,1666666667;28152,1666666667;20169;52216;30581;21635;57392,3333333333;33580,0833333333;23812,25;61394,6666666667;35781;25613,8333333333;55024;31924;23100;54894,75;31667,33333333333;23228;74847,8333333333;42268;32579,8333333334;70917;39109;31807,5;65760;35595;30165;70281,33333333331;38097,25;32184,083333333336;67361,08333333334;35329,666666666664;32031,41666666668;70756,00000000001;38930,83333333331;31825,166666666668
3 bis unter 6 Monate;17291;10312;6980;19510;12084;7426;19573;11798,25;7774,75;21893,3333333333;12903,4166666667;8989,91666666667;22851;13628;9222;24906,25;15009,25;9897;30236,0833333333;18047,8333333333;12188,25;30995;18192;12803;27282,83333333333;15475,916666666673;11806,91666666666;28681,58333333333;16108,5833333333;12573,000000000031;28392;15697;12694,916666666655;26933;14598;12335;35870,41666666668;19527,83333333333;16342,583333333338;27062,499999999993;14374,083333333325;12688,416666666668;25817,249999999985;14140,75;11676,499999999996
6 Monate bis unter 1 Jahr;7594;4700;2895;7468;4723;2745;7244,91666666667;4516,75;2728,16666666667;8377,33333333333;5041,5;3335,83333333333;7660;4623;3037;7690,66666666667;4689,25;3001,41666666667;12224;7499,5;4725;29472;18084;11387;25122,249999999996;14649,999999999996;10472,25;25817,083333333372;14777,750000000031;11039,33333333333;23815;13608;10207,41666666666;23078;12613;10465;35965,33333333333;19982,166666666653;15983,166666666664;23851,083333333336;12947,583333333328;10903,50000000001;17960,583333333336;9779,5;8181,0833333333285
1 Jahr und länger;1111;765;346;737;508;229;575,5;390;185,5;560,5;369,166666666667;191,333333333333;289;188;100;240,333333333333;153,25;87,0833333333333;548,25;367,083333333333;181,166666666667;9195;6040;3155;21075;13726,916666666657;7348;25781,08333333333;16367,0833333333;9414;24568;15671;8896,583333333327;24944;15506;9438;31806,083333333325;19537,499999999996;12268,583333333334;40127,41666666666;24416,41666666665;15711,000000000004;23807,24999999999;14630,583333333332;9176,666666666668
Quelle: Arbeitsmarktservice Wien. Berechnung MA 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
