Bevölkerung nach Staatsangehörigkeit, Geschlecht und Gemeindebezirken 2023;;;;;;;; ;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1. 1.;;;Staatsangehörigkeit;;;;;
;;;;Österreich;;;Fremde;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;1982097;969125;1012972;1303231;625150;678081;678866;343975;334891
1. Innere Stadt;16620;7951;8669;11414;5638;5776;5206;2313;2893
2. Leopoldstadt;108269;53180;55089;67942;32962;34980;40327;20218;20109
3. Landstraße;96756;46384;50372;61519;29228;32291;35237;17156;18081
4. Wieden;33633;16326;17307;21578;10494;11084;12055;5832;6223
5. Margareten;55018;27428;27590;32135;15638;16497;22883;11790;11093
6. Mariahilf;31423;15148;16275;20869;10084;10785;10554;5064;5490
7. Neubau;31581;15277;16304;21363;10273;11090;10218;5004;5214
8. Josefstadt;24674;12092;12582;16507;7877;8630;8167;4215;3952
9. Alsergrund;42206;20056;22150;27250;12995;14255;14956;7061;7895
10. Favoriten;218415;110463;107952;126107;61316;64791;92308;49147;43161
11. Simmering;109038;53865;55173;70897;34472;36425;38141;19393;18748
12. Meidling;100281;49586;50695;61375;29545;31830;38906;20041;18865
13. Hietzing;55568;25956;29612;42428;19751;22677;13140;6205;6935
14. Penzing;96828;47312;49516;68337;32617;35720;28491;14695;13796
15. Rudolfsheim-Fünfhaus;76109;38663;37446;42224;20484;21740;33885;18179;15706
16. Ottakring;102444;51319;51125;61833;29614;32219;40611;21705;18906
17. Hernals;56033;27490;28543;35740;16835;18905;20293;10655;9638
18. Währing;51559;23935;27624;36137;16545;19592;15422;7390;8032
19. Döbling;75517;35301;40216;53282;24798;28484;22235;10503;11732
20. Brigittenau;85690;42729;42961;49316;23902;25414;36374;18827;17547
21. Floridsdorf;183895;89780;94115;129093;62606;66487;54802;27174;27628
22. Donaustadt;212658;102325;110333;157215;75570;81645;55443;26755;28688
23. Liesing;117882;56559;61323;88670;41906;46764;29212;14653;14559
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
