Bevölkerung nach Altersgruppen und Gemeindebezirken 2023 – Frauen;;;;;;;; ;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1. 1. nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;1012972;56853;37581;91544;147464;228259;203725;149296;98250
1. Innere Stadt;8669;305;239;650;1121;1669;1826;1580;1279
2. Leopoldstadt;55089;3094;1990;4929;9034;13303;10595;7271;4873
3. Landstraße;50372;2591;1511;3817;8282;12291;9786;7397;4697
4. Wieden;17307;784;523;1319;2910;4017;3348;2672;1734
5. Margareten;27590;1291;813;2123;5318;6796;5243;3856;2150
6. Mariahilf;16275;633;386;1050;3249;3909;3120;2435;1493
7. Neubau;16304;648;442;1042;3231;4051;3088;2422;1380
8. Josefstadt;12582;480;322;901;2642;2751;2302;1944;1240
9. Alsergrund;22150;881;600;1567;4878;5229;3870;3126;1999
10. Favoriten;107952;7088;4479;10734;15509;23773;21291;15384;9694
11. Simmering;55173;3709;2479;5762;7486;12343;11441;7657;4296
12. Meidling;50695;2910;1772;4697;7587;11502;10085;7498;4644
13. Hietzing;29612;1566;1082;2506;2896;5883;6127;4842;4710
14. Penzing;49516;2627;1767;4161;6122;10831;10312;8125;5571
15. Rudolfsheim-Fünfhaus;37446;1830;1210;3061;6690;9092;7345;5196;3022
16. Ottakring;51125;2687;1743;4524;7597;11589;10571;7753;4661
17. Hernals;28543;1532;1009;2375;4225;6689;5678;4297;2738
18. Währing;27624;1431;968;2317;4116;6310;5497;3933;3052
19. Döbling;40216;1935;1423;3532;4966;8098;8059;6277;5926
20. Brigittenau;42961;2311;1579;3942;6980;9541;8394;6296;3918
21. Floridsdorf;94115;5973;3919;9504;11991;20572;19329;13851;8976
22. Donaustadt;110333;6680;4774;11278;13829;24873;23965;15850;9084
23. Liesing;61323;3867;2551;5753;6805;13147;12453;9634;7113
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
