Natürliche Bevölkerungsbewegung für Wien nach Monaten und Geschlecht 2021;;;;;;;;;
Monat;Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Buben;Mädchen;;Männer;Frauen;;Männer;Frauen
2021;19359;10030;9329;18086;8833;9253;1273;1197;76
Jänner;1486;789;697;1759;840;919;-273;-51;-222
Februar;1486;746;740;1431;674;757;55;72;-17
März;1645;846;799;1581;766;815;64;80;-16
April;1497;796;701;1619;860;759;-122;-64;-58
Mai;1644;817;827;1463;725;738;181;92;89
Juni;1728;879;849;1349;673;676;379;206;173
Juli;1705;886;819;1316;660;656;389;226;163
August;1659;848;811;1425;693;732;234;155;79
September;1670;860;810;1448;687;761;222;173;49
Oktober;1784;944;840;1484;710;774;300;234;66
November;1562;835;727;1604;824;780;-42;11;-53
Dezember;1493;784;709;1607;721;886;-114;63;-177
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
