Einbürgerungen in Wien nach Geburtsland und Rechtsgrund seit 1981;;;;;;;
Jahr;Insgesamt;Einbürgerungen;;;;;
;;Geburtsland;;"Geburtsland
Österreich in %";Rechtsgrund;;
;;Österreich;Ausland;;Ermessen;Rechtsanspruch;Erstreckung
1981;3579;815;2764;22,7717239452361;1342;1252;985
1982;3239;629;2610;19,419573942574868;1130;1323;786
1983;4841;1374;3467;28,382565585622803;1570;2058;1213
1984;3533;954;2579;27,002547410133033;1388;1043;1102
1985;3546;909;2637;25,63451776649746;1485;932;1129
1986;4178;902;3276;21,589277166108186;1775;968;1435
1987;3646;818;2828;22,435545803620403;1491;796;1359
1988;4111;975;3136;23,71685721235709;1680;848;1583
1989;4580;1184;3396;25,851528384279476;1922;807;1851
1990;6312;1564;4748;24,778200253485423;2647;1029;2636
1991;8047;1968;6079;24,456319125139803;3505;1268;3274
1992;7898;2260;5638;28,614839199797416;3421;1071;3406
1993;8671;2329;6342;26,859647099527162;3766;1312;3593
1994;9261;2444;6817;26,390238635136594;3824;1212;4225
1995;6841;1737;5104;25,391024703990645;2928;1465;2448
1996;9044;3123;5921;34,531180893409996;3490;1205;4349
1997;8628;2418;6210;28,025034770514605;3507;1629;3492
1998;9350;2632;6718;28,149732620320854;3576;1809;3965
1999;11007;3746;7261;34,03288816207868;3844;2185;4978
2000;9469;2810;6659;29,675784137712537;3759;1791;3919
2001;13394;4002;9392;29,87905032103927;5331;2111;5952
2002;14672;4171;10501;28,428298800436202;6079;2157;6436
2003;18085;5109;12976;28,249930881946366;7479;3138;7468
2004;16354;4166;12188;25,473890179772535;6265;3628;6461
2005;12240;3062;9178;25,016339869281047;4277;3268;4695
2006;8654;2218;6436;25,62976658192743;3055;2597;3002
2007;5200;1714;3486;32,96153846153846;1507;2039;1654
2008;3782;1353;2429;35,774722369116866;825;1813;1144
2009;2855;1103;1752;38,63397548161121;558;1448;849
2010;1745;577;1168;31,919770773638966;293;950;502
2011;2071;650;1421;31,4;307;1147;617
2012;2491;771;1720;30,9514251304697;405;1320;766
2013;2422;773;1649;31,9026000825423;419;1286;718
2014;2642;891;1751;33,7244511733535;456;1513;673
2015;2967;979;1988;32,9962925513987;482;1620;865
2016;3055;1014;2041;33,1914893617021;457;1678;920
2017;3899;1319;2580;33,8291869710182;471;2171;1257
2018;4121;1315;2806;31,909730647900997;487;2428;1206
2019;4563;1449;3114;31,7554240631164;466;2761;1336
2020;3435;1055;2380;30,7132459970888;313;2280;842
2021;4138;1312;2826;31,7061382310295;276;2711;1151
2022;4478;1354;3124;30,2367128182224;268;2898;1312
Quelle: Statistik Austria – Einbürgerungsstatistik.;;;;;;;
;;;;;;;
