Schulen in Wien nach Schultypen seit 2013/14;;;;;;;;;
Schultyp;Schuljahr;;;;;;;;
;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21;2021/22
Schulen insgesamt;696;701;703;709;720;711;704;715;721
Allgemein bildende Pflichtschulen insgesamt;433;432;432;434;445;441;443;451;456
Volksschulen;264;266;271;276;288;284;292;298;298
Hauptschulen;104;106;60;13;4;–;–;–;–
Mittelschulen;115;123;125;128;130;131;136;139;138
Sonderschulen;36;34;36;35;43;44;43;40;42
Polytechnische Schulen;13;13;13;13;14;13;15;14;14
Allgemein bildende höhere Schulen insgesamt;93;93;93;94;95;96;96;96;96
darunter mit Unterstufe;84;85;85;86;87;88;88;88;88
Sonstige allgemein bildende (Statut-)Schulen (1);31;32;34;35;36;35;33;36;36
Berufsschulen insgesamt;25;25;25;26;25;25;23;23;23
Gewerbliche und kaufmännische Berufsschulen;25;25;25;26;25;25;23;23;23
Berufsbildende mittlere und höhere Schulen insgesamt;62;60;61;72;70;71;69;68;67
Berufsbildende mittlere Schulen insgesamt;42;43;44;47;46;47;46;46;45
Technisch-gewerbliche mittlere Schulen;23;20;22;21;20;22;21;21;20
Kaufmännische mittlere Schulen;15;16;16;16;16;16;16;16;16
Wirtschaftsberufliche mittlere Schulen;8;9;9;9;9;9;8;8;8
Sozialberufliche mittlere Schulen;2;2;2;2;2;2;2;2;2
Mittlere Schulen für pädagogische Assistenzberufe;–;–;–;3;3;3;3;3;3
Sonstige berufsbildende (Statut-)Schulen;18;16;16;18;17;17;17;17;17
Berufsbildende höhere Schulen insgesamt;39;39;39;49;49;49;49;48;48
Technisch-gewerbliche höhere Schulen;18;18;18;18;18;18;18;18;18
Kaufmännische höhere Schulen;14;14;14;14;14;14;14;14;14
Wirtschaftsberufliche höhere Schulen;11;11;11;11;11;11;10;10;10
Sozialberufliche höhere Schulen;–;–;–;–;–;–;–;1;2
Land- und forstwirtschaftliche höhere Schulen;1;1;1;1;1;1;1;1;1
Bildungsanstalten für Elementarpädagogik (2);–;–;–;7;7;7;7;6;6
Bildungsanstalten für Sozialpädagogik (2);–;–;–;3;3;3;3;3;3
Bundessportakademien (3);–;–;–;1;1;1;1;1;1
Schulen im Gesundheitswesen;43;49;48;47;48;42;39;40;42
Lehrerbildende mittlere Schulen (3);1;1;1;–;–;–;–;–;–
Lehrerbildende höhere Schulen (2);8;9;9;–;–;–;–;–;–
Quelle: Statistik Austria – Schulstatistik.;;;;;;;;;
Anmerkung: An einem Standort können mehrere Schultypen vorhanden sein. Bei der Gesamtsumme wird jeder Schulstandort nur einmal ausgewiesen.;;;;;;;;;
"(1) Inklusive Schulen mit ausländischem Lehrplan.
(2) Die bislang in der Kategorie ""Lehrerbildende höhere Schulen"" erfassten Bildungsanstalten für Elementar- bzw. Sozialpädagogik werden ab 2016/17 bei den Berufsbildenden höheren Schulen ausgewiesen.
(3) Die Kategorie ""Lehrerbildende mittlere Schulen"" wurde ab 2016/17 in ""Bundessportakademien"" umbent.";;;;;;;;;
