Studierende an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht im Wintersemester 2022/23;;;;;;;
Hochschule;Insgesamt;Studierende an Hochschulen;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
Hochschulen insgesamt;192698,849;130605,172;59246,169;71359,003;62093,677;27100,079;34993,598
Öffentliche Universitäten;155159;104662;48414;56248;50497;22178;28319
Universität Wien;81960;55770;20723;35047;26190;9869;16321
Technische Universität Wien;25268;16838;12341;4497;8430;5091;3339
Universität für Bodenkultur Wien;9925;7395;3551;3844;2530;1152;1378
Veterinärmedizinische Universität Wien;2489;1597;328;1269;892;221;671
Wirtschaftsuniversität Wien;21270;14395;7801;6594;6875;3568;3307
Medizinische Universität Wien;7905;5462;2403;3059;2443;1087;1356
Akademie der bildenden Künste Wien;1555;732;225;507;823;277;546
Universität für angewandte Kunst Wien;1985;1026;392;634;959;312;647
Universität für Musik und darstellende Kunst Wien;2802;1447;650;797;1355;601;754
Privatuniversitäten;9884;4185;1355;2830;5699;2140;3559
Sigmund Freud Privatuniversität (1);6032;3537;1051;2486;2495;732;1763
Central European University Private University;1380;52;21;31;1328;579;749
JML Jam Music Lab Private University for Jazz and Popular Music Vienna;183;65;37;28;118;61;57
MODUL University Vienna Privatuniversität (1);870;159;69;90;711;320;391
Musik und Kunst Privatuniversität der Stadt Wien;987;323;154;169;664;283;381
Webster Vienna Private University;432;49;23;26;383;165;218
Pädagogische Hochschulen;6969,848999999999;6357,172;1593,1689999999999;4764,003;612,677;131,079;481,598
Pädagogische Hochschule Wien;3696,6459999999997;3329,008;939,578;2389,43;367,63800000000003;80,6;287,038
Private Pädagogische Hochschule der Erzdiözese Wien;2547,2030000000004;2355,164;389,591;1965,573;192,039;38,479;153,56
Hochschule für Agrar- und Umweltpädagogik Wien;726;673;264;409;53;12;41
Fachhochschulen;20686;15401;7884;7517;5285;2651;2634
FHWien der WKW;3705;3045;1396;1649;660;248;412
Fachhochschule Technikum Wien;4902;3493;2834;659;1409;998;411
Fachhochschule des bfi Wien;4045;2356;1143;1213;1689;815;874
Bundesministerium für Landesverteidigung und Sport;19;19;18;1;0;0;0
Fachhochschule Campus Wien;7623;6415;2454;3961;1208;444;764
Lauder Business School;392;73;39;34;319;146;173
Quelle: Statistik Austria – Hochschulstatistik.;;;;;;;
(1) Inkl. ausländische Standorte.;;;;;;;
"Anmerkung: Mehrfachzählungen aufgrund von Mehrfachstudien nicht ausgeschlossen. Öffentliche Universitäten: ordentliche Studierende und Lehrgang-Studierende. 
Privatuniversitäten: ordentliche Studierende und Lehrgang-Studierende. Pädagogische Hochschulen: Lehramt-Studierende. Fachhochschulen: Belegte ordentliche Studien und belegte Lehrgang-Studien.";;;;;;;
