Studienabschlüsse ordentlicher Studierender an öffentlichen und privaten Universitäten und Hochschulen in Wien nach Geschlecht 2015/16;;;;;;;;;
"Universität,
Studienart";Insgesamt;Geschlecht;;Studienabschlüsse nach Staatsangehörigkeit;;;;;
;;;;ÖsterreicherInnen;;;AusländerInnen;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
Studienabschlüsse insgesamt;21866;9070;12796;16506;6842;9664;5360;2228;3132
Universität Wien;10176;3176;7000;7477;2245;5232;2699;931;1768
Bachelorstudien;5296;1543;3753;3773;1051;2722;1523;492;1031
Diplomstudien;2263;699;1564;1969;594;1375;294;105;189
Masterstudien;2136;703;1433;1433;455;978;703;248;455
Doktoratsstudien;481;231;250;302;145;157;179;86;93
Medizinische Universität Wien;770;388;382;598;297;301;172;91;81
Diplomstudien;640;332;308;511;263;248;129;69;60
Masterstudien;6;3;3;5;3;2;1;─;1
Doktoratsstudien;124;53;71;82;31;51;42;22;20
Technische Universität Wien;3104;2197;907;2505;1834;671;599;363;236
Bachelorstudien;1500;1053;447;1240;896;344;260;157;103
Diplomstudien;190;126;64;173;115;58;17;11;6
Masterstudien;1100;775;325;886;655;231;214;120;94
Doktoratsstudien;314;243;71;206;168;38;108;75;33
Universität für Bodenkultur Wien;1617;840;777;1273;664;609;344;176;168
Bachelorstudien;762;397;365;664;343;321;98;54;44
Masterstudien;746;378;368;542;278;264;204;100;104
Doktoratsstudien;109;65;44;67;43;24;42;22;20
Veterinärmedizinische Universität Wien;255;53;202;177;36;141;78;17;61
Bachelorstudien;42;10;32;32;10;22;10;─;10
Diplomstudien;158;28;130;106;16;90;52;12;40
Masterstudien;13;4;9;11;4;7;2;─;2
Doktoratsstudien;42;11;31;28;6;22;14;5;9
Wirtschaftsuniversität Wien;2913;1520;1393;2211;1152;1059;702;368;334
Bachelorstudien;2008;1065;943;1553;810;743;455;255;200
Masterstudien;835;414;421;609;310;299;226;104;122
Doktoratsstudien;70;41;29;49;32;17;21;9;12
Akademie der bildenden Künste Wien;161;62;99;84;37;47;77;25;52
Bachelorstudien;20;9;11;7;6;1;13;3;10
Diplomstudien;93;29;64;52;16;36;41;13;28
Masterstudien;33;18;15;18;11;7;15;7;8
Doktoratsstudien;15;6;9;7;4;3;8;2;6
Universität für angewandte Kunst Wien;229;92;137;121;49;72;108;43;65
Bachelorstudien;13;4;9;7;3;4;6;1;5
Diplomstudien;144;57;87;92;38;54;52;19;33
Masterstudien;60;26;34;15;6;9;45;20;25
Doktoratsstudien;12;5;7;7;2;5;5;3;2
Universität für Musik und darstellende Kunst Wien;359;143;216;211;87;124;148;56;92
Bachelorstudien;121;41;80;78;32;46;43;9;34
Diplomstudien;154;77;77;81;39;42;73;38;35
Masterstudien;80;24;56;51;15;36;29;9;20
Doktoratsstudien;4;1;3;1;1;─;3;─;3
Pädagogische Hochschulen;1430;301;1129;1374;293;1081;56;8;48
Private Universitäten;852;298;554;475;148;327;377;150;227
Quelle: Statistik Austria – Hochschulstatistik.;;;;;;;;;
* Einschließlich anerkannte private Studiengänge privater Rechtsträger.;;;;;;;;;
