Studienabschlüsse an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht im Studienjahr 2021/22;;;;;;;
Hochschule;Insgesamt;Studienabschlüsse an Hochschulen;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
Hochschulen insgesamt;28256,006;20067,963;8855,955;11212,008;8188,043;3359,824;4828,219
Öffentliche Universitäten;19685;13776;6209;7567;5909;2437;3472
Universität Wien;9867;6799;2331;4468;3068;1099;1969
Technische Universität Wien;2996;2170;1583;587;826;448;378
Universität für Bodenkultur Wien;1483;1106;535;571;377;184;193
Veterinärmedizinische Universität Wien;381;248;46;202;133;23;110
Wirtschaftsuniversität Wien;3192;2288;1225;1063;904;444;460
Medizinische Universität Wien;986;715;317;398;271;124;147
Akademie der bildenden Künste Wien;157;100;38;62;57;20;37
Universität für angewandte Kunst Wien;195;113;39;74;82;28;54
Universität für Musik und darstellende Kunst Wien;428;237;95;142;191;67;124
Privatuniversitäten;2354;1135;300;835;1219;428;791
Sigmund Freud Privatuniversität (1);1513;987;236;751;526;153;373
Central European University;307;8;2;6;299;118;181
JML Jam Music Lab Private University for Jazz and Popular Music Vienna;20;18;9;9;2;0;2
MODUL University Vienna Privatuniversität (1);265;60;24;36;205;88;117
Musik und Kunst Privatuniversität der Stadt Wien;155;51;24;27;104;38;66
Webster Vienna Private University;94;11;5;6;83;31;52
Pädagogische Hochschulen;1071,006;1009,9630000000001;190,955;819,008;61,043;9,824;51,219
Pädagogische Hochschule Wien;479,34900000000005;451,218;104,569;346,649;28,131;7,073;21,058
Private Pädagogische Hochschule der Erzdiözese Wien;482,657;456,745;48,386;408,359;25,912000000000003;1,751;24,161
Hochschule für Agrar- und Umweltpädagogik Wien;109;102;38;64;7;1;6
Fachhochschulen;5146;4147;2156;1991;999;485;514
FHWien der WKW;1097;925;402;523;172;60;112
Fachhochschule Technikum Wien;1370;1026;836;190;344;238;106
Fachhochschule des BFI Wien;625;440;230;210;185;77;108
Bundesministerium für Landesverteidigung und Sport;16;16;16;0;0;0;0
Fachhochschule Campus Wien;1942;1729;667;1062;213;78;135
Lauder Business School;96;11;5;6;85;32;53
Quelle: Statistik Austria – Hochschulstatistik.;;;;;;;
(1) Inklusive ausländischer Standorte.;;;;;;;
Anmerkungen: Öffentliche Universitäten: Abschlüsse ordentlicher Studien und Lehrgangsabschlüsse. Ab dem Studienjahr 2016/17 erfolgt die zähltechnische Abbildung der Studienabschlüsse auf Basis des Verteilungsschlüssels gemäß § 9 Abs. 2 und Abs. 5 bis 7 UniStEV 2004. Dadurch sind Studienabschlüsse auf ganze Zahlen zu runden und es kann zu Abweichungen zwischen der Gesamtsumme und den addierten Detailergebnissen kommen. Privatuniversitäten: Abschlüsse ordentlicher und außerordentlicher Studien. Pädagogische Hochschulen: Studienabschlüsse Lehramt und Studienabschlüsse von Lehrgängen. Ab dem Studienjahr 2016/17 erfolgt die zähltechnische Abbildung der Studienabschlüsse auf Basis des Verteilungsschlüssels gemäß § 9 Abs 4 HSteV. Dadurch sind Studienabschlüsse auf ganze Zahlen zu runden und es kann zu Abweichungen zwischen der Gesamtsumme und den addierten Detailergebnissen kommen. Fachhochschulen: Studienort ist jener des einzelnen Studienfalls. Studienabschlüsse ordentlicher Studien und Studienabschlüsse von Lehrgängen.;;;;;;;
