Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung in Wien nach Staatsangehörigkeit und Geschlecht 2021;;;;;;;
Höchste abgeschlossene Ausbildung;Insgesamt;Staatsangehörigkeit;;;;;
;;Österreich;;;Fremde;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;Männer;Frauen;;Männer;Frauen
Wien;1109170;713967;352734;361233;395203;201666;193537
Pflichtschule (1);234716;97266;45125;52141;137450;71287;66163
Lehre;229372;163025;99313;63712;66347;40526;25821
Berufsbildende mittlere Schule (2);98479;71158;28597;42561;27321;13109;14212
Allgemein bildende höhere Schule;125217;75874;37267;38607;49343;23031;26312
Berufsbildende höhere Schule (3);82500;65026;35096;29930;17474;9209;8265
Kolleg;11570;9588;3113;6475;1982;807;1175
Akademie (4);17939;13807;2934;10873;4132;1791;2341
Hochschule (5);309377;218223;101289;116934;91154;41906;49248
Quelle: Statistik Austria – Registerzählung 2021.;;;;;;;
"(1) Inklusive Personen ohne Pflichtschulabschluss.
(2) Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung.
(3) Inklusive lehrerbildende höhere Schulen.
(4) Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen_ inklusive Abschlüsse verschiedener Universitätslehrgänge.
(5) Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten. Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters.";;;;;;;
;;;;;;;
