F&E: Erhebungseinheiten, Beschäftigte (nach Köpfen und Vollzeitäquivalenten), Ausgaben und Fizierung in Wien seit 2006;;;;;;;;;
Erhebungseinheiten, Beschäftigte, Ausgaben, Fizierung *;Berichtsjahr;;;;;;;;
;2006;2007;2009;2011;2013;2015;2017,0;2019,0;2021,0
F&E-durchführende Erhebungseinheiten;;;;;;;;;
Insgesamt;1140;1206;1329;1487;1466;1554;1560,0;1720,0;1700,0
Beschäftigte – Köpfe;;;;;;;;;
Insgesamt;34841;36593;37742;40398;43708;45644;46061,0;50637,0;51124,0
Wissenschaftliches Personal;21990;23791;25828;27213;29666;31261;32793,0;36261,0;37408,0
Höher qualifiziertes nicht wissenschaftliches Personal;8789;8834;7937;8880;10284;10518;9800,0;10808,0;10193,0
Hilfspersonal;4062;3968;3977;4305;3758;3865;3468,0;3568,0;3523,0
Beschäftigte – Vollzeitäquivalente;;;;;;;;;
Insgesamt;19206,6;20451,8;20254,3;20717;21776,8;22739,2;23417,5;25225,0;26634,1
Wissenschaftliches Personal;12090,3;13292,2;14098,3;14129,599999999999;14884,2;15541,1;16438,4;17892,0;19285,2
Höher qualifiziertes nicht wissenschaftliches Personal;5261,2;5263,6;4393,5;4636,900000000001;5343,1;5618,2;5469,8;5882,2;5736,1
Hilfspersonal;1855,1;1896;1762,5;1950,4999999999998;1549,5;1580;1509,2;1450,9;1612,6999999999998
Ausgaben in Mio. EUR inkl. LKH;;;;;;;;;
Insgesamt;2430,103;2617,9959999999996;2846,6;2870,7520000000004;3177,817;3481,407;3627,069;3910,879;4306,764
Personalausgaben;1314,717;1416,946;1465;1477,03;1603,673;1705,785;1822,994;2051,158;2156,934
Laufende Sachausgaben;938,101;1051,941;1176,5;1213,118;1345,105;1591,085;1599,166;1648,983;1864,15
Ausrüstungsinvestitionen;142,142;126,699;176;157,478;141,878;143,158;163,696;157,475;202,861
Bauausgaben und Liegenschaftsankäufe;35,143;22,41;28,1;23,126;87,161;41,379;41,213;53,263;82,819
Ausgaben in Mio. EUR ohne LKH;;;;;;;;;
Insgesamt;2388,898;2571,298;2794,6;2816,826;3121,223;3422,495;3562,496;3842,136;4232,599
Grundlagenforschung;477,2;521,896;635;740,637;876,798;851,949;918,511;982,103;1163,143
Angewandte Forschung;815,013;911,624;938,8;1107,3;1137,069;1237,393;1205,232;1324,794;1519,197
Experimentelle Entwicklung;1096,685;1137,778;1220,9;968,889;1107,356;1333,153;1438,753;1535,239;1550,259
Fizierung der F&E-Ausgaben in Mio. EUR (durch);;;;;;;;;
Insgesamt;2430,103;2617,9959999999996;2846,6;2870,752;3177,817;3481,407;3627,069;3910,879;4306,764
Unternehmenssektor;883,766;946,864;952;971,485;1119,641;1306,596;1490,812;1631,474;1674,812
Öffentlicher (staatlicher) Sektor;974,781;1048,308;1254,5;1382,26;1530,853;1613,493;1523,13;1638,099;1839,077
Privater gemeinnütziger Sektor;15,164;18,158;25,2;23,487;27,419;32,094;23,883;24,16;28,674
Hochschulsektor;–;–;–;–;–;–;48,321;48,906;64,837
Ausland, internationale Organisationen;505,378;553,981;562,8;424,488;411,051;424,436;440,444;448,062;560,906
Europäische Union (EU);51,014;50,685;52;69,032;88,853;104,788;100,479;120,178;138,458
Quelle: Statistik Austria – Erhebungen über Forschung und experimentelle Entwicklung_ Sonderauswertungen für Wien.;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen. Ab 2017 revidierte Richtlinien (Frascati-Handbuch 2015) gültig, daher nicht mehr genau mit den Vorjahren vergleichbar.;;;;;;;;;
* Regionale Zuordnung nach dem Hauptstandort (Sitz) des Unternehmens.;;;;;;;;;
