Beschäftigte in F&E nach Durchführungssektoren/Erhebungsbereichen, Beschäftigtenkategorien und Geschlecht in Wien 2021;;;;;;;;
Sektoren, Bereiche;Beschäftigte;;;;;;;
;insgesamt;;wissenschaftliches Personal;;höher qualifiziertes nicht wissenschaftliches Personal;;sonstiges Hilfspersonal;
;Geschlecht;;Geschlecht;;Geschlecht;;Geschlecht;
;Männer;Frauen;Männer;Frauen;Männer;Frauen;Männer;Frauen
Kopfzahlen;;;;;;;;
Insgesamt;30258;20866;23076;14332;5917;4276;1265;2258
Hochschulsektor;12765;12619;11178;8771;1014;2396;573;1452
Universitäten (ohne Kliniken);10109;9254;8840;6546;821;1723;448;985
Universitätskliniken;1646;2131;1437;1257;127;501;82;373
Universitäten der Künste;457;669;410;543;25;83;22;43
Fachhochschulen;289;251;254;172;32;74;3;5
Privatuniversitäten;222;242;195;185;9;15;18;42
Pädagogische Hochschulen;42;72;42;68;–;–;–;4
Sonstiger Hochschulsektor;–;–;–;–;–;–;–;–
Sektor Staat (1);3711;3476;2760;2251;661;803;290;422
Landeskrankestalten;;;;;;;;
Akademie der Wissenschaften;825;753;662;511;151;212;12;30
Privater gemeinnütziger Sektor (2);239;329;189;235;37;64;13;30
Unternehmenssektor;13543;4442;8949;3075;4205;1013;389;354
Kooperativer Bereich (3);303;200;266;143;29;17;8;40
Firmeneigener Bereich;13240;4242;8683;2932;4176;996;381;314
Vollzeitäquivalente;;;;;;;;
Insgesamt;17305,2;9328,8;12922,5;6362,7;3734,4;2001,8000000000002;648,1999999999999;964,5
Hochschulsektor;5136,3;4578,7;4468,9;3087,5;431,7;955,6;235,7;535,7
Universitäten (ohne Kliniken);4366,1;3602,6;3789,3;2462,5;376,2;737,3;200,6;402,8
Universitätskliniken;489,7;640,4;423,5;354,2;43,9;179,8;22,3;106,4
Universitäten der Künste;103,3;179,3;90,4;137;5,9;27,4;7;14,9
Fachhochschulen;102,6;67,9;97,4;58,1;4,1;9,1;1;0,7
Privatuniversitäten;59,3;62,3;52,9;50,9;1,6;2;4,8;9,4
Pädagogische Hochschulen;15,3;26,3;15,3;24,8;–;–;–;1,5
Sonstiger Hochschulsektor;–;–;–;–;–;–;–;–
Sektor Staat (1);1949,8;1583,8;1525,8;1045,2;295,3;353,6;128,6;185
Landeskrankestalten;;;;;;;;
Akademie der Wissenschaften;529,6;433,9;431,6;304,5;94,6;120,2;3,4;9,2
Privater gemeinnütziger Sektor (2);126,1;168,6;104,8;125,8;15,9;31,5;5,4;11,4
Unternehmenssektor;10093;2997,7;6823;2104,2;2991,5;661,1;278,5;232,4
Kooperativer Bereich (3);188;102,5;166,8;76,9;15,8;5,5;5,4;20,1
Firmeneigener Bereich;9905;2895,2;6656,2;2027,3;2975,7;655,6;273,1;212,3
Quelle: Statistik Austria –  Erhebung über Forschung und experimentelle Entwicklung, Sonderauswertung für Wien.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
"1) Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand fizierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ ohne Landeskrankestalten. Die Landeskrankestalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. Daher liegen keine Daten über Beschäftigte in F&E vor. 
2) Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist.
3) Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren.";;;;;;;;
