Wohnungen nach Ausstattung und Gemeindebezirken 1991, 2001 und 2011;;;;;;;;;;;;
Gemeindebezirk;Wohnungsausstattung;;;;;;;;;;;
;Kategorie A und B;;;;Kategorie C;;;;Kategorie D;;;
;1991;2001,0;2011,0;2021,0;1991;2001,0;2011,0;2021;1991;2001;2011,0;2021,0
Wien;616206;701053,0;774833,0;925226,0;47998;11869,0;21925,0;520;74758;58033;50580,0;1034,0
1. Innere Stadt;8409;8611,0;8351,0;8394,0;483;96,0;256,0;1;384;201;175,0;2,0
2. Leopoldstadt;35629;38222,0;41565,0;50085,0;3540;849,0;1721,0;11;4751;4094;3444,0;13,0
3. Landstraße;34992;37566,0;39962,0;48358,0;3236;850,0;1617,0;3;3906;3249;2672,0;16,0
4. Wieden;13925;14162,0;15009,0;16556,0;975;260,0;615,0;1;825;763;604,0;2,0
5. Margareten;19842;21915,0;24205,0;28372,0;2452;595,0;1248,0;–;3927;3053;2779,0;30,0
6. Mariahilf;12774;13533,0;14341,0;16004,0;940;218,0;593,0;1;1144;995;787,0;5,0
7. Neubau;12408;13452,0;15079,0;16887,0;1199;255,0;526,0;1;1670;1390;949,0;3,0
8. Josefstadt;10189;10774,0;11249,0;12129,0;759;167,0;394,0;36;822;709;489,0;2,0
9. Alsergrund;17056;18033,0;19277,0;21832,0;1777;458,0;965,0;2;1644;1386;1081,0;11,0
10. Favoriten;57587;68220,0;78269,0;96819,0;5340;1479,0;2015,0;49;8935;6265;5669,0;95,0
11. Simmering;26823;34852,0;40328,0;47610,0;1846;473,0;655,0;16;1800;1476;1293,0;47,0
12. Meidling;31972;35850,0;39499,0;46610,0;3216;987,0;963,0;27;4291;3195;2793,0;41,0
13. Hietzing;23224;24237,0;24502,0;25722,0;924;164,0;474,0;46;914;297;234,0;19,0
14. Penzing;31135;36092,0;39120,0;45816,0;2972;592,0;1310,0;63;4679;2965;2715,0;74,0
15. Rudolfsheim-Fünfhaus;24803;26191,0;29397,0;37558,0;2454;581,0;1185,0;–;7439;6144;5563,0;62,0
16. Ottakring;33961;36134,0;40571,0;50549,0;2610;718,0;1301,0;20;8528;7506;6899,0;186,0
17. Hernals;19474;20308,0;22708,0;27512,0;1189;282,0;845,0;46;4290;3410;3042,0;93,0
18. Währing;19850;20372,0;22063,0;25626,0;1549;385,0;759,0;7;2824;2227;1837,0;39,0
19. Döbling;30605;31772,0;33220,0;35891,0;1508;358,0;694,0;18;1044;809;674,0;14,0
20. Brigittenau;27401;32877,0;35528,0;41149,0;2823;755,0;1091,0;1;5379;4573;4066,0;23,0
21. Floridsdorf;48925;58489,0;65629,0;82425,0;3520;878,0;1056,0;71;2456;1839;1619,0;99,0
22. Donaustadt;41750;60195,0;71405,0;90620,0;1895;341,0;994,0;63;1811;893;726,0;69,0
23. Liesing;33472;39196,0;43556,0;52702,0;791;128,0;648,0;37;1295;594;470,0;89,0
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen 1991, 2001 und Registerzählung 2011 (nur Wohnungen mit Hauptwohnsitz).;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
