Lebendgeborene, Totgeborene und gestorbene Säuglinge in Wien nach Geschlecht und Geburtsgewicht 2022;;;;;;;;;
Geburtsgewicht in Gramm;Lebendgeborene;;;Totgeborene;;;Gestorbene Säuglinge;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Buben;Mädchen;;Buben;Mädchen;;Buben;Mädchen
Wien;19142;9851;9291;93;52;42;63;36;27
unter 500;28;19;9;–;–;–;24;17;7
500–799;42;19;23;22;10;12;13;5;8
800–999;27;13;14;10;8;2;4;2;2
1.000–1.499;108;45;63;19;9;10;3;2;1
1.500–1.999;243;106;137;9;5;4;2;1;1
2.000–2.499;746;326;420;10;5;5;1;–;1
2.500–2.999;3054;1320;1734;9;4;5;5;3;2
3.000–3.499;7300;3521;3779;10;6;4;2;–;2
3.500–3.999;5702;3260;2442;2;2;–;5;3;2
4.000–4.499;1529;1003;526;2;2;–;3;2;1
4.500–4.999;172;126;46;–;–;–;1;1;–
5.000 und mehr;191;93;98;–;1;–;–;–;–
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung, Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;9847;;;;;;;;
